en,de,article
4. {% include reusables/{{ page.lang }}/scripts/steps/aht.md %},2. {% include reusables/{{ page.lang }}/scripts/steps/processes.md %},requirement-asa.md
5. {% include reusables/{{ page.lang }}/scripts/steps/version.md %},3. {% include reusables/{{ page.lang }}/scripts/steps/aht.md %},requirement-asa.md
6. {% include reusables/{{ page.lang }}/scripts/steps/planunit.md %},4. {% include reusables/{{ page.lang }}/scripts/steps/version.md %},requirement-asa.md
7. {% include reusables/{{ page.lang }}/scripts/steps/activity.md %},### Planungseinheiten-Parameter,requirement-asa.md
8. Enter a value for **ASA (sec.)** to specify the average time in seconds in which an employee must answer calls.,1. {% include reusables/{{ page.lang }}/scripts/steps/planunit.md %},requirement-asa.md
9. {% include reusables/{{ page.lang }}/scripts/steps/aht-fixed.md %},2. {% include reusables/{{ page.lang }}/scripts/steps/activity.md %},requirement-asa.md
10. {% include reusables/{{ page.lang }}/scripts/steps/min-max-staff.md %},### Erlang C-Parameter,requirement-asa.md
11. {% include reusables/{{ page.lang }}/scripts/steps/add-percent.md %},"1. Nutze **ASA (Sek.)**, um die durchschnittliche Zeit in Sekunden vorzugeben, in der ein Mitarbeiter Anrufe beantworten muss.",requirement-asa.md
    {% include reusables/{{ page.lang }}/scripts/shrinkage_vs_add_percent.md %},2. {% include reusables/{{ page.lang }}/scripts/steps/aht-fixed.md %},requirement-asa.md
12. {% include reusables/{{ page.lang }}/scripts/steps/startdate.md %},3. {% include reusables/{{ page.lang }}/scripts/steps/min-max-staff.md %},requirement-asa.md
13. {% include reusables/{{ page.lang }}/scripts/steps/number-of-days.md %},4. {% include reusables/{{ page.lang }}/scripts/steps/add-percent.md %},requirement-asa.md
14. Click _Ok_{:.doc-button} to start the calculation.,## Datum,requirement-asa.md
A window will pop up. It shows your input parameters and the script execution results. Check the {% link_new saved employee requirement in the Shift Center | features/scheduling/edit-or-delete-staff-requirements.md %}.,1. {% include reusables/{{ page.lang }}/scripts/steps/startdate.md %},requirement-asa.md
{% include reusables/{{ page.lang }}/scripts/on-prem-usage.md %},2. {% include reusables/{{ page.lang }}/scripts/steps/number-of-days.md %},requirement-asa.md
"{{ 1 | image: 'ASA Script UI', '80%' }}",{% include reusables/{{ page.lang }}/scripts/shrinkage_vs_add_percent.md %},requirement-asa.md
Constant requirement script,Konstanter Bedarf,requirement-constant.md
Set constant values for your staff requirements.,Lege konstante Werte für deinen Mitarbeiterbedarf fest.,requirement-constant.md
Use the Constant requirement script to save fixed staff requirements based on your input. Create new staff requirements or overwrite existing staff requirements for your activities for a specific time period.,"Verwende das Bedarfsskript Konstanter Bedarf, um auf Grundlage deiner Eingaben einen festen Mitarbeiterbedarf zu speichern. Erstelle einen neuen Mitarbeiterbedarf oder überschreibe einen bestehenden Mitarbeiterbedarf für deine Aktivitäten zu einem bestimmten Zeitraum.",requirement-constant.md
Use the Constant requirement script in the following cases:,Verwende das Bedarfsskript Konstanter Bedarf in den folgenden Fällen:,requirement-constant.md
- You do not have any historical data to calculate staff requirements with a different calculation method.,"- Du hast keine historischen Daten, um den Mitarbeiterbedarf mit einer anderen Berechnungsmethode zu berechnen.",requirement-constant.md
"- Some activities require a fixed number of people over a specific time. For example, you need two people to handle emails every afternoon.","- Einige Aktivitäten erfordern eine feste Anzahl von Mitarbeitern über einen bestimmten Zeitraum. Zum Beispiel benötigst du jeden Nachmittag zwei Mitarbeiter, um E-Mails zu bearbeiten.",requirement-constant.md
## Prerequisites,## Voraussetzungen,requirement-constant.md
- Create at least one {% link_new workload | features/forecast/injixo-forecast/create-workloads.md | #create-workloads %}.,- Erstelle mindestens einen {% link_new Workload | features/forecast/injixo-forecast/create-workloads.md | #workloads-erstellen %}.,requirement-constant.md
Each workload needs at least one queue. There are two ways to create queues:,"Jeder Workload benötigt mindestens eine Queue. Es gibt zwei Möglichkeiten, Queues zu erstellen:",requirement-constant.md
- {% link_new Add an integration | features/acd-integration/cloud/how-integrations-work.md %} and import data. injixo automatically creates a queue.,- {% link_new Füge eine Integration hinzu | features/acd-integration/cloud/how-integrations-work.md %} und importiere Daten. injixo erstellt automatisch eine Queue.,requirement-constant.md
- Create a queue by {% link_new importing one sample data point | features/forecast/injixo-forecast/import-forecast.md | #create-a-queue %}. Use this method if you do not have any historical data and you want to create constant staff requirements.,"- Erstelle eine Queue, indem du {% link_new einen Beispieldatensatz | features/forecast/injixo-forecast/import-forecast.md | #queue-erstellen %} importierst. Verwende diese Methode, wenn du keine historischen Daten hast und einen konstanten Mitarbeiterbedarf erstellen möchtest.",requirement-constant.md
## Configure the script,## Skript konfigurieren,requirement-constant.md
1. Go to _Forecast > Requirement Scripts_{:.breadcrumbs}.,1. Gehe zu _Forecast > Bedarfsskripte_{:.breadcrumbs}.,requirement-constant.md
"2. In the **Other - Constant Requirement** tile, click _Open_{:.doc-button}.",2. Klicke in der Kachel **Allgemein - Konstanter Bedarf** auf _Öffnen_{:.doc-button}.,requirement-constant.md
"3. In the script configuration window, configure the following settings:",3. Konfiguriere im Skript-Konfigurationsfenster folgende Einstellungen:,requirement-constant.md
   - In the **Date** section:,   - Im Abschnitt **Datum**:,requirement-constant.md
     - **Start Date**: Enter the start date for the staff requirements calculation.,     - **Startdatum**: Gib das Startdatum für die Berechnung des Mitarbeiterbedarfs ein.,requirement-constant.md
     - **Number of Days**: Enter the number of days from the start date for which you want to calculate staff requirements.,"     - **Anzahl Tage**: Gib die Anzahl der Tage ab dem Startdatum ein, für die du den Mitarbeiterbedarf berechnen möchtest.",requirement-constant.md
"     - **Consider Each Day of the Week**: If you select **Yes**, the script displays weekday names in the **Data** section.<br> If you select **No**, the script displays days as Day 1, Day 2, Day 3, and so on. Day 1 corresponds to the **Start date**.<br>Learn more about the Consider Each Day of the Week option in the [dedicated section below](#how-does-the-consider-each-day-of-the-week-option-impact-the-calculation).","     - **Wochentagsabhängig**: Wenn du **Ja** auswählst, zeigt das Skript im Abschnitt **Daten** die Namen der Wochentage an.<br> Wenn du **Nein** auswählst, zeigt das Skript die Tage nummeriert an als Tag 1, Tag 2, Tag 3 usw. Tag 1 entspricht dem **Startdatum**.<br>Erfahre im [untenstehenden Abschnitt](#wie-wirkt-sich-die-option-wochentagsabhängig-auf-die-berechnung-aus) mehr über die Option.",requirement-constant.md
     - **Add to Existing Requirement**: Checkbox checked: The values you enter below are added to the existing staff requirements. Checkbox unchecked: The values you enter below overwrite the existing staff requirements.,"     - **Zu bestehendem Bedarf addieren**: Checkbox aktiviert: Die Werte, die du unten eingibst, werden dem bestehenden Mitarbeiterbedarf hinzugefügt. Checkbox nicht aktiviert: Die Werte, die du unten eingibst, überschreiben den bestehenden Mitarbeiterbedarf.",requirement-constant.md
     - **Add Up Requirements of Overlapping Timespans**: Checkbox checked: The values you enter below are added to the existing staff requirements for periods that partially overlap. Checkbox unchecked: The values you enter below overwrite the existing staff requirements for periods that partially overlap.,"     - **Bedarf in Überschneidungszeiträumen addieren**: Checkbox aktiviert: Die Werte, die du unten eingibst, werden dem bestehenden Mitarbeiterbedarf für Zeiträume, die sich teils überschneiden, hinzugefügt. Checkbox nicht aktiviert: Die Werte, die du unten eingibst, überschreiben den bestehenden Mitarbeiterbedarf für Zeiträume, die sich teils überschneiden.",requirement-constant.md
     - **Observe Planning Unit's Business Hours**: Check the checkbox if you want to save staff requirements only for the intervals included within the business hours configured for the relevant planning unit.,"     - **Öffnungszeiten der Planungseinheit beachten**: Aktiviere die Checkbox, wenn du den Mitarbeiterbedarf nur für Intervalle speichern möchtest, die innerhalb der für die jeweilige Planungseinheit konfigurierten Öffnungszeiten liegen.",requirement-constant.md
"   - Select values from the following drop-down menus. When you select a value, the script configuration window updates after a few seconds and displays different parameters based on the values you select.","   - Wähle aus den folgenden Dropdown-Menüs Werte aus. Wenn du einen Wert auswählst, aktualisiert sich das Skript-Konfigurationsfenster nach einigen Sekunden und zeigt andere Parameter an, je nachdem, welche Werte du ausgewählt hast.",requirement-constant.md
     - **Number of Days with Timespans**: The number of days from the start date for which you can enter staff requirements.,"     - **Tage mit Zeitabschnitten**: Die Anzahl der Tage ab dem Startdatum, für die du einen Mitarbeiterbedarf eingeben kannst.",requirement-constant.md
"     - **Timespans per Day**: The number of time periods per day for which you can enter staff requirements. In the **Data** section, an input field will be displayed for each period.","     - **Zeitabschnitte pro Tag**: Die Anzahl an Zeitabschnitten pro Tag, für die du einen Mitarbeiterbedarf eingeben kannst. Im Abschnitt **Daten** gibt es für jeden Zeitabschnitt ein Eingabefeld.",requirement-constant.md
"     - **Number of Activities**: The number of activities for which you can enter staff requirements. In the **Data** section, a column will be displayed for each activity.","     - **Anzahl Aktivitäten**: Die Anzahl der Aktivitäten, für die du einen Mitarbeiterbedarf eingeben kannst. Im Abschnitt **Daten** wird für jede Aktivität eine Spalte angezeigt.",requirement-constant.md
   - In the **Data** section:,   - Im Abschnitt **Daten**:,requirement-constant.md
     - Select a **Planning Unit** and an **Activity** for each activity column.,     - Wähle eine **Planungseinheit** und eine **Aktivität** für jede Aktivitätenspalte aus.,requirement-constant.md
     - Enter a **Start** and an **End** time for each time period. Use the 24-hour format.,     - Gib für jeden Zeitabschnitt einen **Beginn** und ein **Ende** ein. Verwende das 24-Stunden-Format.,requirement-constant.md
"     - In the **Agents** field, enter the number of people required for each time period.","     - Gib im Feld **Mitarbeiter** die Anzahl der Mitarbeiter ein, die je Zeitabschnitt benötigt werden.",requirement-constant.md
     - Check the checkboxes next to the days for which you want to calculate staff requirements.,"     - Aktiviere die Checkboxen neben den Tagen, für die du den Mitarbeiterbedarf berechnen möchtest.",requirement-constant.md
## Run the script,## Skript ausführen,requirement-constant.md
"After you have configured the script, click _OK_{:.doc-button} to start the calculation.","Wenn du das Skript konfiguriert hast, klicke auf _OK_{:.doc-button}, um die Berechnung zu starten.",requirement-constant.md
"A window displays the planning units and the activities you selected, and the script results. Learn where you can {% link_new see the saved staff requirements | features/scheduling/edit-or-delete-staff-requirements.md | #view-and-edit-staff-requirements %}.","Ein Fenster zeigt die von dir ausgewählten Planungseinheiten und Aktivitäten sowie die Ergebnisse der Berechnung an. Erfahre, wo du {% link_new den gespeicherten Mitarbeiterbedarf einsehen | features/scheduling/edit-or-delete-staff-requirements.md | #mitarbeiterbedarf-einsehen-und-bearbeiten %} kannst.",requirement-constant.md
"Note: In injixo Enterprise on-premise, go to _WFM > Forecast > ForecastPro > Forecast_{:.breadcrumbs} or _WFM > Administration > Forecasting > Scripts_{:.breadcrumbs}. The script name may vary because you can enter a custom name when creating the script.","Hinweis: Gehe in injixo Enterprise on-premise zu _WFM > Prognose > ForecastPro > Forecast_{:.breadcrumbs} oder zu _WFM > Administration > Prognose > Skripts_{:.breadcrumbs}. Der Skript-Name kann variieren, weil du beim Erstellen des Skripts einen eigenen Namen vergeben kannst.",requirement-constant.md
## How does the Consider Each Day of the Week option impact the calculation?,## Wie wirkt sich die Option Wochentagsabhängig auf die Berechnung aus?,requirement-constant.md
The script uses the value entered in the **Number of days** field as a date range starting from the **Start Date** you entered.,"Das Skript verwendet den Wert, den du im Feld **Anzahl Tage** eingegeben hast als Datumsbereich, ausgehend vom ersten Tag des Datumsbereichs.",requirement-constant.md
"If you enter a value that is smaller than 7 or equal to 7, injixo calculates staff requirements only for the number of days included in the date range.<br>","Wenn du einen Wert kleiner oder gleich 7 eingibst, berechnet injixo den Mitarbeiterbedarf nur für die Anzahl von Tagen, die zum Datumsbereich gehören.<br>",requirement-constant.md
"If you enter a value greater than 7, injixo calculates staff requirements according to the value you selected for the **Consider Each Day of the Week** option:","Wenn du einen höheren Wert als 7 eingibst, berechnet injixo den Mitarbeiterbedarf auf Grundlage des Wertes, den du für die Option **Wochentagsabhängig** ausgewählt hast:",requirement-constant.md
- Yes: injixo calculates staff requirements for the selected weekdays until the end of the date range.,- Ja: injixo berechnet den Mitarbeiterbedarf für die gewählten Wochentage bis zum Ende des Datumsbereichs.,requirement-constant.md
"- No: injixo calculates staff requirements repeatedly, starting with day 1 and regardless of the weekday, until the end of the date range.","- Nein: injixo berechnet den Mitarbeiterbedarf immer wieder neu, beginnend mit Tag 1 und unabhängig vom Wochentag bis zum Ende des Datumsbereichs.",requirement-constant.md
Outbound calls script,Outbound,outbound-calls-script.md
Calculate staff requirements for outbound calls.,Ermittle den Mitarbeiterbedarf für ausgehende Anrufe.,outbound-calls-script.md
"Use the Outbound calls requirement script to calculate staff requirements for campaigns with outgoing calls. The calculation is based on the total number of contacts addressed in the campaign, the campaign duration, and the expected average handle time (AHT).","Verwende das Outbound-Skript, um den Mitarbeiterbedarf für Kampagnen mit ausgehenden Anrufen zu berechnen. Die Berechnung erfolgt auf Basis der Gesamtzahl der Kontakte, die während der Kampagne kontaktiert werden, der Kampagnendauer und der erwarteten durchschnittlichen Bearbeitungszeit (AHT).",outbound-calls-script.md
## Prerequisites,## Voraussetzungen,outbound-calls-script.md
"To calculate staff requirements with a forecasted call distribution, start by exporting the forecast:","Um den Mitarbeiterbedarf mit einer prognostizierten Anrufverteilung zu berechnen, exportiere als erstes den Forecast:",outbound-calls-script.md
"1. In _Forecast > Workloads_{:.breadcrumbs}, select a workload.",1. Wähle in _Forecast > Workloads_{:.breadcrumbs} einen Workload aus.,outbound-calls-script.md
"2. Select the time frame using the date picker. Click on a week number to select the whole week, or click any day and drag to select a period shorter or longer than a week.","2. Wähle mit der Datumsauswahl den Zeitraum aus. Klicke auf eine Kalenderwoche, um die ganze Woche auszuwählen oder auf einen beliebigen Tag und ziehe dann mit der Maustaste, um einen Zeitraum kürzer oder länger als eine Woche auszuwählen.",outbound-calls-script.md
"3. From the {% icon ellipsis_v %} at the top right, select **Use forecast**.",3. Klicke oben rechts auf das {% icon ellipsis_v %} und wähle die Option **Forecast verwenden**.,outbound-calls-script.md
"4. In the **Use this forecast to calculate staff requirements** window, select the forecast you want to use.","4. Wähle im Fenster **Verwende diesen Forecast für die Berechnung des Mitarbeiterbedarfs** den Forecast aus, den du verwenden möchtest.",outbound-calls-script.md
5. Click _Use forecast_{:.doc-button}.,5. Klicke auf _Forecast verwenden_{:.doc-button}.,outbound-calls-script.md
6. Click _Close_{:.doc-button}.,6. Klicke auf _Schließen_{:.doc-button}.,outbound-calls-script.md
"Alternatively, you can use the Outbound calls requirement script to calculate staff requirements without a forecast. Learn how to configure the parameters accordingly in the [Campaign Data section table](#campaign-data-section).","Alternativ kannst du das Outbound-Skript verwenden, um den Mitarbeiterbedarf ohne einen Forecast zu berechnen. Erfahre in der Tabelle zum [Abschnitt Kampagnendaten](#abschnitt-kampagnendaten), wie du die Parameter entsprechend konfigurierst.",outbound-calls-script.md
## Configure the script,## Skript konfigurieren,outbound-calls-script.md
1. Go to _Forecast > Requirement Scripts_{:.breadcrumbs}.,1. Gehe zu _Forecast > Bedarfsskripte_{:.breadcrumbs}.,outbound-calls-script.md
"2. In the **Calls-Outbound** tile, click _Open_{:.doc-button}.",2. Klicke in der Kachel **Anrufe - Outbound** auf _Öffnen_{:.doc-button}.,outbound-calls-script.md
The script configuration window includes three sections. Learn how to configure the parameters in the tables below.,"Das Skript-Konfigurationsfenster besteht aus drei Abschnitten. Erfahre in den folgenden Tabellen, wie du die einzelnen Parameter konfigurierst.",outbound-calls-script.md
### Campaign Data section,### Abschnitt Kampagnendaten,outbound-calls-script.md
| Parameter                    | Description                                                                                                                                                                                                                                                                                              |,| Parameter                            | Beschreibung                                                                                                                                                                                                                                                                                                                                            |,outbound-calls-script.md
| ---------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,| ------------------------------------ | ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,outbound-calls-script.md
| Queue                        | Select the queue for which you want to use the script.                                                                                                                                                                                                                                                   |,"| Queue                                | Wähle die Queue aus, für die du das Skript ausführen möchtest.                                                                                                                                                                                                                                                                                          |",outbound-calls-script.md
| Records                      | The total number of target contacts for your campaign. Select **fixed** and enter a value in the field below to calculate staff requirements without a forecast. Select **variable** and select a value type with forecasted target contacts.                                                            |,"| Aufzeichnungen                       | Die Gesamtzahl der Zielkontakte für deine Kampagne. Wähle die Option **konstant** aus und gib einen Wert in das Feld darunter ein, um den Mitarbeiterbedarf ohne Forecast zu berechnen. Wähle alternativ die Option **variabel** aus und wähle aus dem Dropdown-Menü darunter einen Wertetyp mit prognostizierten Zielkontakten aus.                    |",outbound-calls-script.md
| Contact rate (%)             | The percentage of answered outgoing calls.                                                                                                                                                                                                                                                               |,| Kontaktrate (%)                      | Der Prozentsatz der beantworteten ausgehenden Anrufe.                                                                                                                                                                                                                                                                                                   |,outbound-calls-script.md
| Redial rate (%)              | The percentage of contacts that are attempted again after unsuccessful attempts. The redial attempts are distributed over the date range you configure with the **Start date** and **End date** parameters. Learn more about the redial rate in the [dedicated section below](#what-is-the-redial-rate). |,"| Wahlwiederholungsquote (%)           | Der Prozentsatz der Kontakte, die nach einem erfolglosen Kontaktversuch erneut kontaktiert werden. Die Wahlwiederholungsversuche werden in dem Datumsbereich erfasst, den du mit den Parametern **Startdatum** und **Enddatum** konfigurierst. Erfahre mehr über die Wahlwiederholungsquote in [diesem Abschnitt](#was-ist-die-wahlwiederholungsquote). |",outbound-calls-script.md
| Start date                   | Beginning of the date range for the calculation.                                                                                                                                                                                                                                                         |,| Startdatum                           | Anfang des Datumsbereichs für die Berechnung.                                                                                                                                                                                                                                                                                                           |,outbound-calls-script.md
"| End date                     | The end of the date range for the calculation. Select **Date** and enter a date in the field below, or select **Campaign Duration Days** and enter a value in the field below.                                                                                                                           |",| Enddatum                             | Das Ende des Datumsbereichs für die Berechnung. Wähle die Option **Datum** aus und gib ein Datum in das Feld darunter ein oder wähle die Option **Kampagnendauer in Tagen** aus und gib einen Wert in das Feld darunter ein.                                                                                                                            |,outbound-calls-script.md
"| Right party connect rate (%) | The percentage of calls that are answered by the intended people. Select **fixed** and enter a value in the field below, or select **variable** and select a value type with forecasted right party connect rate.                                                                                        |","| Rate zuständiger Ansprechpartner (%) | Der Prozentsatz an Anrufen, die von den richtigen Personen beantwortet werden. Wähle die Option **konstant** aus und gib einen Wert in das Feld darunter ein oder wähle die Option **variabel** aus und wähle aus dem Dropdown-Menü darunter einen Wertetyp mit prognostizierten Werten für die Right-Party-Kontakt-Rate aus.                           |",outbound-calls-script.md
"| Shrinkage (%)                | (Optional) The percentage of paid time during which people are not available to handle contacts, due to, for example, unscheduled breaks or sick leaves.                                                                                                                                                 |","| Schwindung (%)                       | (Optional) Der Prozentsatz bezahlter Arbeitszeit, während derer Mitarbeiter keine Kontakte bearbeiten können, z.&nbsp;B. aufgrund unvorhergesehener Pausen oder Krankheiten. Dieser Wert ist auch bekannt als Shrinkage oder Schwund.                                                                                                                   |",outbound-calls-script.md
### Average Handling Time section,### Abschnitt Durchschnittliche Vorgangsdauer,outbound-calls-script.md
| Parameter      | Description                                                                                                                                                    |,| Parameter | Beschreibung |,outbound-calls-script.md
| -------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------- |,|------------------------------|---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------| |,outbound-calls-script.md
"| fixed/variable | Select **fixed** and enter fixed values in the fields below, or select **variable** and select value types in the fields below.                                |",| konstant/variabel | Wähle die Option **konstant** aus und gib feste Werte in die Felder darunter ein oder wähle die Option **variabel** aus und wähle aus den Dropdown-Menüs darunter Wertetypen aus. |,outbound-calls-script.md
"| RPC in seconds | AHT, in seconds, for a call with the right contact person. This value includes the after-call work.                                                            |",| RPC in Sekunden | AHT in Sekunden für ein Telefonat mit dem zuständigen Ansprechpartner. In diesem Wert ist auch die Nachbearbeitungszeit enthalten. |,outbound-calls-script.md
"| WPC in seconds | AHT, in seconds, for a call answered by the wrong party, such as a call that is answered by the wrong contact person or a call that is forwarded to voicemail. |","| WPC in Sekunden | AHT in Sekunden für ein Telefonat mit dem falschen Ansprechpartner, z.&nbsp;B. wenn der Anruf von einem nicht zuständigen Ansprechpartner oder einem automatischen Anrufbeantworter beantwortet wird. |",outbound-calls-script.md
### Employee workload section,### Abschnitt Mitarbeiter-Auslastung,outbound-calls-script.md
| Parameter     | Description                                                                                                                                                                                                       |,| Parameter        | Beschreibung                                                                                                                                                                                                                             |,outbound-calls-script.md
| ------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,| ---------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,outbound-calls-script.md
"| Planning Unit | The planning unit for which you want to calculate the staff requirements. If you change the planning unit, the **Activity** drop-down menu updates and displays all the activities assigned to the planning unit. |","| Planungseinheit  | Die Planungseinheit, für die du den Mitarbeiterbedarf berechnen möchtest. Wenn du die Planungseinheit änderst, aktualisiert sich das Dropdown-Menü **Aktivität** und zeigt alle Aktivitäten an, die der Planungseinheit zugewiesen sind. |",outbound-calls-script.md
| Activity      | The activity for which you want to calculate the staff requirements.                                                                                                                                              |,"| Aktivität        | Die Aktivität, für die du den Mitarbeiterbedarf berechnen möchtest.                                                                                                                                                                      |",outbound-calls-script.md
| Minimum Staff | The minimum number of people required per interval. Enter a value to overwrite intervals with lower staff requirements.                                                                                           |,"| Mindestbesetzung | Die Mindestanzahl an Mitarbeitern, die pro Intervall benötigt wird. Gib einen Wert ein, um Intervalle mit niedrigeren Werten für den Mitarbeiterbedarf zu überschreiben.                                                                 |",outbound-calls-script.md
| Maximum Staff | The maximum number of people required per interval. Enter a value to overwrite intervals with higher staff requirements.                                                                                          |,"| Maximalbesetzung | Die Höchstanzahl an Mitarbeitern, die pro Intervall benötigt wird. Gib einen Wert ein, um Intervalle mit höheren Werten für den Mitarbeiterbedarf zu überschreiben.                                                                      |",outbound-calls-script.md
## Run the script,## Skript starten,outbound-calls-script.md
"- To start the calculation, click _OK_{:.doc-button}.<br>A window opens and displays the input parameters you selected and the script results.","- Um die Berechnung zu starten, klicke auf _OK_{:.doc-button}.<br>Ein Fenster öffnet sich und zeigt die ausgewählten Eingabeparameter und die Ergebnisse des Skripts an.",outbound-calls-script.md
You can see the {% link_new saved staff requirements in Shift Center | features/scheduling/edit-or-delete-staff-requirements.md %}.,Du kannst den {% link_new gespeicherten Mitarbeiterbedarf im Schicht Center einsehen | features/scheduling/edit-or-delete-staff-requirements.md %}.,outbound-calls-script.md
"Note: In injixo Enterprise on-premise, go to _WFM > Forecast > ForecastPro > Forecast_{:.breadcrumbs} or _WFM > Administration > Forecasting > Scripts_{:.breadcrumbs}. The script requires an existing forecast for the combination of queue, value type, and version. The script name may vary because you can enter a custom name when creating the script.","Hinweis: Gehe in injixo Enterprise on-premise zu _WFM > Prognose > ForecastPro > Forecast_{:.breadcrumbs} oder zu _WFM > Administration > Prognose > Skripts_{:.breadcrumbs}. Für das Skript muss es bereits einen Forecast geben für die Kombination von Queue, Wertetyp und Version. Der Skript-Name kann variieren, weil du beim Erstellen des Skripts einen eigenen Namen vergeben kannst.",outbound-calls-script.md
## What is the redial rate?,## Was ist die Wahlwiederholungsquote?,outbound-calls-script.md
