en,es,article
"Workloads map the input channels of your external system, which records the details of your customer interactions. Based on imported contact data stored in queues, injixo Forecast will calculate a forecast for the workload. Configurable events, holidays, or opening hours influence the forecast result. You can also {% link_new import your forecast | features/forecast/injixo-forecast/import-forecast.md %} into workloads.","Las cargas de trabajo mapean los canales de entrada de tu sistema externo con el que registras los detalles de las interacciones con los clientes. injixo Forecast se basa en los datos de contacto importados y almacenados en colas para calcular una previsión de la carga de trabajo futura. Los eventos configurables, los días festivos o los horarios de apertura influencian el resultado de la previsión. También puedes {% link_new importar tu previsión | features/forecast/injixo-forecast/import-forecast.md %} a las cargas de trabajo.",manage-workloads.md
"In workloads, you configure the staff requirements calculation. Staff requirements are needed for scheduling.",En las cargas de trabajo configuras el cálculo de los requisitos de personal. Los requisitos de personal son necesarios para la planificación.,manage-workloads.md
New to injixo Forecast? Learn {% link_new the basics | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %} first.,¿Estás empezando con injixo Forecast? Consulta primero {% link_new la información básica | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %}.,manage-workloads.md
## Prerequisites,## Prerrequisitos,manage-workloads.md
- Add {% link_new a native or CSV integration | features/acd-integration/cloud/how-integrations-work.md %} and import historical data for at least one queue.,- Añade {% link_new una integración nativa o de archivos CSV | features/acd-integration/cloud/how-integrations-work.md %} e importa datos históricos para al menos una cola.,manage-workloads.md
"- Import offered contacts, average handling time (AHT), and handled contacts. Workloads with multiple queues will need the handled contacts to display the AHT and calculate weighted averages.","- Importa contactos ofrecidos, tiempo medio de operación (TMO) y contactos atendidos. Las cargas de trabajo con múltiples colas necesitan los contactos atendidos para mostrar el TMO y calcular promedios ponderados.",manage-workloads.md
injixo creates queues using the data imported by an integration. The data import interval determines the interval of the queues created from that data. You can only add queues with the same interval to a workload.,injixo crea colas a partir de los datos importados por una integración. El intervalo de importación de datos determina el intervalo de las colas creadas a partir de esos datos. Solo puedes agregar colas con el mismo intervalo a una carga de trabajo.,manage-workloads.md
## Queues and channels,## Colas y canales,manage-workloads.md
"Contact data imported by an integration is stored in queues. These queues are always associated with a channel. When you [create workloads](#create-workloads), you can filter queues by channel to assign them to the workload. Native integrations automatically set the channel for queues. Not all integrations support all channels.","Los datos de contacto importados por una integración se almacenan en colas. Estas colas siempre están asociadas a un canal. Cuando creas [cargas de trabajo](#crear-cargas-de-trabajo), puedes filtrar las colas por canal para asignarlas a la carga de trabajo. Las integraciones nativas establecen automáticamente el canal de las colas. No todas las integraciones soportan todos los canales.",manage-workloads.md
"For a CSV integration, you need to set the channel manually. You can add a channel per column or select one channel for the file when you {% link_new map the columns | features/acd-integration/cloud/add-csv-integration.md | #map-the-columns %} of a CSV file.","Si usas una integración de archivos CSV tendrás que establecer el canal manualmente. Puedes añadir un canal por columna, o seleccionar un canal para todo el archivo cuando {% link_new asignes las columnas | features/acd-integration/cloud/add-csv-integration.md | #asignar-las-columnas %} de un archivo CSV.",manage-workloads.md
Integrations support the following channels:,Las integraciones soportan los siguientes canales:,manage-workloads.md
- Calls,- Llamadas,manage-workloads.md
- Chats,- Chats,manage-workloads.md
- Emails,- Correos electrónicos,manage-workloads.md
- Cases,- Casos,manage-workloads.md
- Documents,- Documentos,manage-workloads.md
- Social media,- Redes sociales,manage-workloads.md
injixo Forecast groups queues by channel. You can only add queues with the same channel to a workload.,injixo Forecast agrupa las colas por canal. Solo puedes añadir colas con el mismo canal a una carga de trabajo.,manage-workloads.md
## Create workloads,## Crear cargas de trabajo,manage-workloads.md
"We recommend creating one workload for each activity you want to schedule using staff requirements. Multiactivities require one workload for the multiactivity, and one workload for each subactivity.",Recomendamos crear una carga de trabajo para cada actividad que quieras planificar con requisitos de personal. Las multiactividades requieren una carga de trabajo para la multiactividad y una carga de trabajo para cada subactividad.,manage-workloads.md
1. Click _New workload_{:.doc-button} on top of the list.,1. Haz clic en _Nueva carga de trabajo_{:.doc-button} arriba de la lista.,manage-workloads.md
2. Enter the general information for your workload:,2. Introduce la información general de tu carga de trabajo:,manage-workloads.md
   - **Name**: Unique name to identify your workload.,   - **Nombre**: nombre único para identificar tu carga de trabajo.,manage-workloads.md
   - **Time zone**: The {% link_new time zone | best-practices/working-with-timezones.md %} for the workload cannot be edited later.,   - **Zona horaria**: la {% link_new zona horaria | best-practices/working-with-timezones.md %} de la carga de trabajo no se puede editar más adelante.,manage-workloads.md
     > Note,     > Atención,manage-workloads.md
     >,     >,manage-workloads.md
"     > - To save staff requirements for a planning unit, the time zone of the workload must match the time zone of the planning unit.","     > - Para guardar los requisitos de personal para una unidad de planificación, la zona horaria de la carga de trabajo debe coincidir con la zona horaria de la unidad de planificación.",manage-workloads.md
"     > - If you select a different time zone for your workload than the time zone of the integration used to import data, the imported data will be displayed as shifted in time in the workload. For example, if a CSV integration is set to UTC&nbsp;time and your workload is set to CEST&nbsp;time (UTC&nbsp;+2&nbsp;hours), the imported data marked at 08:00 will be displayed at 10:00 in the workload.","     > - Si seleccionas una zona horaria para la carga de trabajo distinta a la zona horaria de la integración con la que importas datos, los datos importados se mostrarán desplazados en la carga de trabajo. Por ejemplo, si una integración de archivos CSV está configurada con la zona horaria UTC, y tu carga de trabajo está configurada con la zona horaria CEST (UTC +2 horas), los datos importados marcados a las 08:00 aparecerán a las 10:00 en la carga de trabajo.",manage-workloads.md
   - (Optional) **Holiday region**: Includes national holidays that may affect your forecast.,   - (Opcional) **Región para los festivos**: incluye días festivos nacionales que pueden afectar a la previsión.,manage-workloads.md
   - (Optional) **Planning unit** and **Activity**: Required to {% link_new activate business hours | features/forecast/injixo-forecast/forecast-activate-business-hours.md %} in the **Business hours** section.,   - (Opcional) **Unidad de planificación** y **Actividad**: requerido para {% link_new activar los horarios de apertura | features/forecast/injixo-forecast/forecast-activate-business-hours.md %} en la sección **Horarios de apertura**.,manage-workloads.md
3. (injixo Classic only) Select an option from the **Pricing model** section:,3. (Solo para injixo Classic) Selecciona una opción en la sección **Modelo de precios**:,manage-workloads.md
   - **Live mode** (paid): Invoiced monthly. Cannot be reverted to Test mode.,   - **Modo activo** (de pago): se factura mensualmente. No se puede revertir al modo de prueba.,manage-workloads.md
   - **Test mode** (free): You can only view forecasts and not transfer staff requirements for scheduling.,"   - **Modo test** (gratuito): solo puedes ver la previsión, pero no puedes transferir requisitos de personal para la planificación.",manage-workloads.md
"4. In the **Assign queues** section, select the queues for your workload.","4. En la sección **Asignar colas**, selecciona las colas para tu carga de trabajo.",manage-workloads.md
   To limit the queues displayed:,   Para limitar las colas mostradas:,manage-workloads.md
"   - Filter the queues by channel (Calls, Chats, etc.).","   - Filtra las colas por canal (Llamadas, Chats, etc.).",manage-workloads.md
"   - Use the checkboxes to show selected, unselected or inactive queues. Inactive queues are those imported by integrations that have been deleted.","   - Usa las casillas para mostrar colas seleccionadas, no seleccionadas o inactivas. Las colas inactivas son las importadas por integraciones que han sido eliminadas.",manage-workloads.md
"   - Use the search field over the table. You can search for queue, integration or workload name.","   - Usa el campo de búsqueda arriba de la tabla. Puedes buscar nombres de colas, integraciones o cargas de trabajo.",manage-workloads.md
"   Note: If a queue's interval or channel does not match that of the selected queues, all non-matching queues will be grayed out.","   Ten en cuenta que si el intervalo o canal de una cola no coincide con el de las colas seleccionadas, todas las colas que no coincidan se mostrarán en gris.",manage-workloads.md
5. Click _Create workload_{:.doc-button}.,5. Haz clic en _Crear carga de trabajo_{:.doc-button}.,manage-workloads.md
   The page displays historical data and a preliminary forecast version.,   La página muestra los datos históricos y una versión preliminar de la previsión.,manage-workloads.md
"   When the calculation is completed, refresh the page to see the final forecast version.","   Cuando el cálculo se haya completado, actualiza la página para ver la versión final de la previsión.",manage-workloads.md
   The new workload is displayed in the workloads list.,   La nueva carga de trabajo aparecerá en la lista de cargas de trabajo.,manage-workloads.md
"If you are using injixo Essential, you can create Basic workloads. Basic workloads require at least two weeks of historical data. Basic workloads do not support business hours.","Si usas injixo Essential, puedes crear cargas de trabajo Basic. Las cargas de trabajo Basic requieren al menos dos semanas de datos históricos. Las cargas de trabajo Basic no permiten incluir horarios de apertura.",manage-workloads.md
"If you are using injixo Advanced or Enterprise WFM, you can create Smart workloads. Smart workloads generate a forecast based on just one day of historical data. Smart workloads support business hours.","Si usas injixo Advanced o Enterprise WFM, puedes crear cargas de trabajo Smart. Las cargas de trabajo Smart generan una previsión basada en un solo día de datos históricos. Las cargas de trabajo Smart admiten horarios de apertura.",manage-workloads.md
"If you are using injixo Classic, you additionally need to select the Forecast model (Smart or Basic) for each workload. For Smart workloads, you must choose between the Live mode and the Test mode. The Test mode is free of charge but it only lets you see the forecast, and you cannot transfer staff requirements for scheduling purposes. The Live mode offers the full functionality and is billed monthly. Smart workloads in Live mode cannot be reverted to Test mode.","Si usas injixo Classic, tienes que seleccionar adicionalmente el modelo de previsión (Smart o Basic) para cada carga de trabajo. Para las cargas de trabajo Smart, tienes que elegir entre el modo activo y el modo test. El modo test es gratuito, pero solo te muestra la previsión, y no permite transferir requisitos de personal para usarlos durante la planificación. El modo activo ofrece la funcionalidad completa y se factura mensualmente. Las cargas de trabajo Smart en modo activo no se pueden revertir al modo test.",manage-workloads.md
<!-- ## Create workloads without historical data,<!-- ## Create workloads without historical data,manage-workloads.md
"You only need an integration and historical data import if you want injixo to create forecasts. To add forecast data by {% link_new importing a forecast | features/forecast/injixo-forecast/import-forecast.md %} that has been generated externally or to {% link_new create constant staff requirements | features/forecast/requirement-scripts/requirement-constant.md %}, you can create a workload using the tab *Forecast Import*:","You only need an integration and historical data import if you want injixo to create forecasts. To add forecast data by {% link_new importing a forecast | features/forecast/injixo-forecast/import-forecast.md %} that has been generated externally or to {% link_new create constant staff requirements | features/forecast/requirement-scripts/requirement-constant.md %}, you can create a workload using the tab *Forecast Import*:",manage-workloads.md
1. Go to **Forecast**{:.breadcrumbs}.,1. Go to **Forecast**{:.breadcrumbs}.,manage-workloads.md
2. Click _Create Workload_{:.doc-button} in the upper right corner of the forecast page.,2. Click _Create Workload_{:.doc-button} in the upper right corner of the forecast page.,manage-workloads.md
"3. In the *Basic configuration* section, enter a **Name** for your new workload.","3. In the *Basic configuration* section, enter a **Name** for your new workload.",manage-workloads.md
4. Select the **Time zone** to display data. Note: The set time zone must match the planning unit to save staff requirements.,4. Select the **Time zone** to display data. Note: The set time zone must match the planning unit to save staff requirements.,manage-workloads.md
5. (Optional) Select the **Holiday region** to acknowledge all national holidays that affect your forecast for the year.,5. (Optional) Select the **Holiday region** to acknowledge all national holidays that affect your forecast for the year.,manage-workloads.md
6. Select the **Planning unit** and the **Activity**. Note: You must select an option to calculate staff requirements.,6. Select the **Planning unit** and the **Activity**. Note: You must select an option to calculate staff requirements.,manage-workloads.md
    {{ 4 | image: 'Import Workload basic configuration section' }},    {{ 4 | image: 'Import Workload basic configuration section' }},manage-workloads.md
7. Click the tab **Forecast import**.,7. Click the tab **Forecast import**.,manage-workloads.md
8. Select your **Interval length** and the **Channel** for the data import. Both must correspond with your import file.,8. Select your **Interval length** and the **Channel** for the data import. Both must correspond with your import file.,manage-workloads.md
    {{ 5 | image: 'Import Workload parameters' }},    {{ 5 | image: 'Import Workload parameters' }},manage-workloads.md
9. Click *Create workload*{:.doc-button}. -->,9. Click *Create workload*{:.doc-button}. -->,manage-workloads.md
## Edit workloads,## Editar cargas de trabajo,manage-workloads.md
1. Select a workload from the workloads list or type the workload's name in the search field.,"1. Selecciona una carga de trabajo de la lista, o introduce el nombre de la carga de trabajo en el campo de búsqueda.",manage-workloads.md
"2. To change the workload details, click the {% icon pencil %}.","2. Para modificar los detalles de la carga de trabajo, haz clic en el {% icon pencil %}.",manage-workloads.md
   You can add or remove queues without reimporting data. Listed queues are grayed out if their interval or channel does not match that of already assigned queues.,   Puedes añadir o eliminar colas sin tener que reimportar datos. Las colas listadas se mostrarán en gris si su intervalo o canal no coincide con el de las colas ya asignadas.,manage-workloads.md
3. Click _Save workload_{:.doc-button}.,3. Haz clic en _Guardar carga de trabajo_{:.doc-button}.,manage-workloads.md
   The new configuration may update the forecast.,   Puede ser que la nueva configuración actualice la previsión.,manage-workloads.md
## Delete workloads,## Eliminar cargas de trabajo,manage-workloads.md
1. Click the {% icon trash %} next to the workload in the list.,1. Haz clic en el {% icon trash %} junto a la carga de trabajo en la lista.,manage-workloads.md
"2. In the confirmation window, click _Delete Workload_{:.doc-button}.","2. En la ventana de confirmación, haz clic en _Eliminar carga de trabajo_{:.doc-button}.",manage-workloads.md
"    injixo stores the associated historical data. To reuse the data, add the queue or queues to another workload.","    injixo almacena los datos históricos asociados. Para reutilizar los datos, añade la cola o colas a otra carga de trabajo.",manage-workloads.md
"injixo Forecast combines your historical data with algorithms to generate high-quality forecasts. The algorithms recognize trends, patterns, and fluctuations included in your data. injixo Forecast uses many types of algorithms, such as ARIMA, Holt-Winters, exponential smoothing, regression, or gradient boosting.","injixo Forecast combina tus datos históricos con algoritmos para generar previsiones de alta calidad. Los algoritmos reconocen tendencias, patrones y fluctuaciones en tus datos. injixo Forecast utiliza distintos tipos de algoritmos, como ARIMA, Holt-Winters, suavizamiento exponencial, regresión, o potenciación de gradiente.",what-is-the-injixo-forecast.md
"injixo Forecast automatically selects the algorithm best suited to your data. The forecast is generated for 365 days and can be displayed in daily, weekly, monthly, and yearly views.","injixo Forecast selecciona automáticamente el algoritmo que mejor se ajusta a tus datos. injixo genera una previsión para 365 días que se puede consultar en vistas diarias, semanales, mensuales y anuales.",what-is-the-injixo-forecast.md
injixo Essential WFM uses a basic algorithm that uses simple average values in the historical data to recognize a long-term linear trend and weekly patterns.,injixo Essential WFM usa un algoritmo básico que toma valores medios de los datos históricos para reconocer una tendencia lineal a largo plazo y patrones semanales.,what-is-the-injixo-forecast.md
## Generate a forecast,## Generar una previsión,what-is-the-injixo-forecast.md
Check our quick start guide to learn how to {% link_new generate a forecast | getting-started/calculate-a-forecast.md %}. Each new data import updates the generated forecast. injixo Essential WFM only generates a new forecast once a week.,Consulta nuestra guía rápida para aprender a {% link_new generar una previsión | getting-started/calculate-a-forecast.md %}. Cada nueva importación de datos actualiza la previsión generada. injixo Essential WFM solo genera una nueva previsión una vez a la semana.,what-is-the-injixo-forecast.md
"Note: If your generated forecast only shows repeated weekly patterns, it still may be the optimal forecast. In this case, the algorithm captures short-term patterns (for non-repeating fluctuations) and rates long-term patterns as irrelevant. Fluctuations in the historical data are not always patterns.","Si tu previsión generada solo muestra patrones semanales repetidos, ten en cuenta que esta puede ser la previsión óptima. En este caso, el algoritmo captura patrones a corto plazo (para fluctuaciones no repetitivas) y considera los patrones a largo plazo irrelevantes. Las fluctuaciones en los datos históricos no siempre son patrones.",what-is-the-injixo-forecast.md
## Data requirements,## Requisitos de datos,what-is-the-injixo-forecast.md
"injixo Forecast requires that you import offered contacts, average handling time (AHT), and handled contacts.","injixo Forecast requiere que importes los contactos ofrecidos, el tiempo medio de operación (TMO) y los contactos atendidos.",what-is-the-injixo-forecast.md
"Basic workloads in injixo Classic require at least two weeks of historical data. Smart workloads can generate a forecast based on just one day of historical data. If you have two or more years worth of data, Smart workloads consider monthly and annual fluctuations, such as seasonal business.","Las cargas de trabajo Basic en injixo Classic requieren un mínimo de dos semanas de datos históricos. Las cargas de trabajo Smart pueden generar una previsión basada en datos históricos de un solo día. Si tienes datos para dos años o más, las cargas de trabajo Smart tienen en cuenta las fluctuaciones mensuales y anuales, como negocios estacionales.",what-is-the-injixo-forecast.md
"Which kind of workloads are available to you depends on your WFM plan (Classic, Essential, Advanced or Enterprise WFM).","El tipo de cargas de trabajo disponibles para ti depende de tu plan de WFM (Classic, Essential, Advanced o Enterprise WFM).",what-is-the-injixo-forecast.md
## How to deal with low data quality,## Cómo lidiar con datos de baja calidad,what-is-the-injixo-forecast.md
"To generate an accurate forecast, historical data must be both complete (enough data with as few gaps as possible) and clean (free of irrelevant patterns). For example, incorrectly marked {% link_new events or holidays | features/forecast/injixo-forecast/events-and-holidays.md %} will impact forecast quality.","Para generar una previsión precisa, los datos históricos deben estar completos (suficientes datos con la menor cantidad de brechas posible) y limpios (libres de patrones irrelevantes). Por ejemplo, los {% link_new eventos o festivos | features/forecast/injixo-forecast/events-and-holidays.md %} marcados incorrectamente afectarán a la calidad de la previsión.",what-is-the-injixo-forecast.md
"Historical data may include prolonged outages, or it may miss data for a particular timeframe. The closer that missing data is to the current day, the less the forecast quality is affected.","Puede ocurrir que los datos históricos incluyan interrupciones prolongadas, o que falten datos de un periodo de tiempo específico. La calidad de la previsión se ve menos afectada cuanto más reciente sea la fecha cuyos datos faltan.",what-is-the-injixo-forecast.md
Here are some tips on managing low data quality depending on how long the period with poor or missing data is:,"Aquí ofrecemos algunos consejos para trabajar con datos de baja calidad, dependiendo de cuán largo sea el periodo con datos deficientes o faltantes:",what-is-the-injixo-forecast.md
| Timeframe with poor quality data     | Tip                                                                                                                                                         |,| Periodo con datos de baja calidad     | Consejo                                                                                                                                                         |,what-is-the-injixo-forecast.md
| -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------- |,| -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------- |,what-is-the-injixo-forecast.md
| A few days | Use {% link_new events | features/forecast/injixo-forecast/events-and-holidays.md %} to mark the affected days as an outage and exclude them from the calculation.                                  |,| Algunos días | Usa {% link_new eventos | features/forecast/injixo-forecast/events-and-holidays.md %} para marcar los días afectados como una interrupción y excluirlos del cálculo.                                  |,what-is-the-injixo-forecast.md
| A couple of weeks    | Upload additional data without gaps or irrelevant patterns. |,| Un par de semanas    | Sube datos adicionales sin brechas o patrones irrelevantes. |,what-is-the-injixo-forecast.md
| Several weeks or months  | Remove the data that predates the gap. Import only the data from after the gap.                            |,| Varias semanas o meses  | Elimina los datos anteriores a la brecha. Importa solamente los datos posteriores a la brecha.                            |,what-is-the-injixo-forecast.md
"Note: If you cannot upload additional data or you do not have enough data after a gap, the Smart Forecast algorithms will automatically try to minimize the negative impact of missing data.","Si no puedes subir datos adicionales o no tienes suficientes datos posteriores a una brecha, los algoritmos Smart automáticamente intentarán minimizar el impacto negativo de la falta de datos.",what-is-the-injixo-forecast.md
> Check and clean up data before you import it,> Verifica y limpia los datos antes de importarlos.,what-is-the-injixo-forecast.md
>,>,what-is-the-injixo-forecast.md
> You cannot remove historical data. Contact your Customer Success team if needed.,"> No puedes eliminar datos históricos. En caso necesario, contacta con tu equipo de Customer Success.",what-is-the-injixo-forecast.md
## Forecast low volumes,## Previsión de volúmenes bajos,what-is-the-injixo-forecast.md
"injixo Forecast can generate forecasts for low and high contact volumes. When generating a forecast based on data from low contact volumes, injixo may not recognize the daily patterns. While rare, this may result in no forecast being generated for particular days. For single days, adjust the forecast manually. In a recurring situation, you can:","injixo Forecast puede generar previsiones para volúmenes de contacto bajos y altos. Cuando generas una previsión partiendo de volúmenes de contacto bajos, puede ser que injixo no reconozca los patrones diarios. Si bien es poco común, esto puede causar que no se genere ninguna previsión para días particulares. Puedes ajustar manualmente la previsión para días concretos. En una situación recurrente, puedes:",what-is-the-injixo-forecast.md
- Add multiple queues to the workload (resulting in higher volumes).,- añadir múltiples colas a la carga de trabajo (lo que resultará en volúmenes más altos);,what-is-the-injixo-forecast.md
"- Use another approach to generate staff requirements for scheduling, e.g. {% link_new generate constant staff requirements | features/forecast/requirement-scripts/requirement-constant.md %}.","- utilizar otro enfoque para generar los requisitos de personal para la programación, como {% link_new generar requisitos de personal constantes | features/forecast/requirement-scripts/requirement-constant.md %}.",what-is-the-injixo-forecast.md
"With Intraday Adherence, you can compare people's scheduled activities with the actual activities to identify out-of-adherence periods throughout the day.","Con Adherencia intradiaria puedes comparar las actividades planificadas para un empleado con las actividades que realmente ha llevado a cabo, y así identificar periodos en los que esté fuera de adherencia durante el día laboral.",adherence-intraday.md
Intraday Adherence will display data after you have set up the {% link_new real-time agent status import | features/acd-integration/cloud/import-agent-status-data.md %}.,"Para que Adherencia intradiaria muestre datos, debes configurar primero la importación de {% link_new estados de los agentes en tiempo real | features/acd-integration/cloud/import-agent-status-data.md %}.",adherence-intraday.md
New to Real-Time Adherence? Learn {% link_new the basics | features/intraday/real-time-adherence.md %} first.,¿Es la primera vez que trabajas con Adherencia en tiempo real? Consulta primero {% link_new la información básica | features/intraday/real-time-adherence.md %}.,adherence-intraday.md
## Display and search data,## Mostrar y buscar datos,adherence-intraday.md
1. Go to _Intraday > Intraday Adherence_{:.breadcrumbs},1. Ve a _Intraday > Adherencia Intradiaria_{:.breadcrumbs},adherence-intraday.md
"2. To display agent data, select a **planning unit** and/or **selection**.","2. Para mostrar datos de los agentes, selecciona una **unidad de planificación** y/o un **grupo**.",adherence-intraday.md
"3. To change the displayed day, click _Today_{:.doc-button} or _Yesterday_{:.doc-button} or use the **date picker**.","3. Para cambiar el día mostrado, haz clic en _Hoy_{:.doc-button} o _Ayer_{:.doc-button} o usa el **selector de fechas**.",adherence-intraday.md
"The table displays out-of-adherence details by person. In the table header, you can identify periods with low adherence. You can sort the table or use the search at the top to filter the view, see {% link_new filtering and sorting | features/intraday/real-time-adherence.md | #search-and-filter %}.",La tabla muestra detalles de períodos fuera de adherencia organizados por persona. En el encabezado de la tabla puedes identificar períodos con baja adherencia. Puedes ordenar la tabla o usar la búsqueda en la parte superior para filtrar la vista con las {% link_new opciones de filtrar y ordenar | features/intraday/real-time-adherence.md | #search-and-filter %}.,adherence-intraday.md
"{{ 1 | image: 'Intraday Adherence','100%' }}","{{ 1 | image: 'Adherencia Intradiaria','100%' }}",adherence-intraday.md
> Limit the view for specific people to relevant users,> Limita el acceso a los datos de empleados concretos a usuarios relevantes,adherence-intraday.md
>,>,adherence-intraday.md
> Configure rights to specific planning units or selections per {% link_new user or user role | getting-started/configure-user-roles.md | #set-wfm-permissions %}.,> Configura los permisos para ciertas unidades de planificación o grupos para {% link_new usuarios o roles de usuario específicos | getting-started/configure-user-roles.md | #establecer-permisos-para-wfm %}.,adherence-intraday.md
## Adherence score,## Valor de adherencia,adherence-intraday.md
The score shows whether there were deviations between people's scheduled and actual activities.,La adherencia muestra en un valor porcentual si hubo desviaciones entre las actividades planificadas y las actividades reales que el empleado llevó a cabo.,adherence-intraday.md
"You can analyze adherence over the course of the day via the graph. If the day has not ended, the score is calculated up to the timestamp of the last update, shown above the adherence score.","Puedes analizar la adherencia a lo largo del día con ayuda del gráfico. Si el día aún no ha terminado, el valor se calcula hasta la marca temporal de la última actualización, que puedes ver arriba del valor de adherencia.",adherence-intraday.md
The target adherence score is indicated by the dashed line. You can {% link_new adjust the target score | features/intraday/real-time-adherence.md | #define-the-target-adherence-score %}.,injixo muestra el objetivo de adherencia con una línea de puntos. Puedes {% link_new modificar el objetivo de adherencia | features/intraday/real-time-adherence.md | #define-the-target-adherence-score %}.,adherence-intraday.md
"{{ 2 | image: 'Adherence score','100%' }}","{{ 2 | image: 'Valor de adherencia','100%' }}",adherence-intraday.md
## Agent adherence table,## Tabla de adherencia del agente,adherence-intraday.md
The table displays adherence details for the people scheduled today. The table is sortable by person name and adherence score.,La tabla muestra los detalles de adherencia de los empleados planificados hoy. Puedes ordenar la tabla por nombre de empleado y por valor de adherencia.,adherence-intraday.md
Each table row contains a timeline of a person. You can see the differences between the person's scheduled and actual activities. Each person has an individual adherence score. The individual scores add up to the overall score of the planning unit (displayed in the table header). Deviations are highlighted when the score drops below the {% link_new configured adherence target score | features/intraday/real-time-adherence.md | #define-the-target-adherence-score %}.,Cada fila de la tabla contiene la línea temporal de un empleado. Puedes ver las diferencias entre las actividades planificadas y las actividades reales que el empleado llevó a cabo. Cada persona tiene un valor de adherencia individual. Los valores individuales se suman al valor general de la unidad de planificación (mostrado en el encabezado de la tabla). Las desviaciones se resaltan cuando el valor cae por debajo del {% link_new objetivo de adherencia configurado | features/intraday/real-time-adherence.md | #define-the-target-adherence-score %}.,adherence-intraday.md
The colors represent three out-of-adherence types:,Los colores representan tres tipos de estados fuera de adherencia:,adherence-intraday.md
- Not Present (red),- No está presente (rojo),adherence-intraday.md
- Wrong Activity (yellow),- Actividad errónea (amarillo),adherence-intraday.md
- Not Scheduled (blue),- No está planificado (azul),adherence-intraday.md
Click an agent to see the {% link_new agent's intraday adherence | features/intraday/adherence-intraday.md | #agent-intraday-adherence %}. {% link_new Matches | features/intraday/adherence-matches.md %} and {% link_new buffer times | features/intraday/real-time-adherence.md | #buffer-time %} influence changes in status and adherence types. Learn more about the {% link_new status and types | features/intraday/real-time-adherence.md | #status %}.,Haz clic en un agente para ver la {% link_new adherencia intradiaria del agente | features/intraday/adherence-intraday.md | #adherencia-intradiaria-del-agente %}. Los {% link_new matches | features/intraday/adherence-matches.md %} y los {% link_new periodos de gracia | features/intraday/real-time-adherence.md | #buffer-time %} influyen en los cambios en el estado y los tipos de adherencia. Aprende más sobre los {% link_new estados y tipos de adherencia | features/intraday/real-time-adherence.md | #status %}.,adherence-intraday.md
"{{ 3 | image: 'Agent Adherence Table','100%' }}","{{ 3 | image: 'Tabla de adherencia del agente','100%' }}",adherence-intraday.md
## Agent intraday adherence,## Adherencia intradiaria del agente,adherence-intraday.md
"The Agent Intraday Adherence view drills down into adherence incident details. You can see where people have not adhered to their schedule. To understand what a person has done during the day, click a schedule entry. The view will show single activities using the configured colors.","La vista de adherencia intradiaria del agente profundiza en los detalles de los incidentes de adherencia. Puedes ver, p.&nbsp;ej., cuándo alguien ha incumplido su horario. Para entender lo que un empleado ha hecho a lo largo del día, haz clic en una entrada de horario. La vista mostrará las actividades individuales con los colores configurados.",adherence-intraday.md
"In the timeline, you can compare the scheduled and actual activities and see the resulting out-of-adherence statuses. The table below contains a single row for each out-of-adherence period.","En la línea temporal puedes comparar las actividades planificadas con las actividades reales, y puedes ver los estados de fuera de adherencia resultantes. La tabla a continuación contiene una sola fila para cada período fuera de adherencia.",adherence-intraday.md
"To change the displayed day, you can use:","Para cambiar el día mostrado, puedes usar:",adherence-intraday.md
