en,fr,article
"injixo Forecast requires that you import offered contacts, average handling time (AHT), and handled contacts.","Pour utiliser injixo Forecast, vous devez importer les contacts entrants, le temps moyen de traitement (TMT) et les contacts traités.",what-is-the-injixo-forecast.md
"Basic workloads in injixo Classic require at least two weeks of historical data. Smart workloads can generate a forecast based on just one day of historical data. If you have two or more years worth of data, Smart workloads consider monthly and annual fluctuations, such as seasonal business.","Dans injixo Classic, les workloads Basic nécessitent au moins deux semaines de données historiques. Les workloads Smart peuvent générer une prévision basée sur un seul jour de données historiques. Si vous disposez d’un ou deux ans de données, les workloads Smart prennent en compte les fluctuations mensuelles et annuelles, comme les activités saisonnières.",what-is-the-injixo-forecast.md
"Which kind of workloads are available to you depends on your WFM plan (Classic, Essential, Advanced or Enterprise WFM).","Le type de workload disponible dépend de votre offre WFM (Classic, Essential, Advanced ou Enterprise WFM).",what-is-the-injixo-forecast.md
## How to deal with low data quality,## Gérer les données de faible qualité,what-is-the-injixo-forecast.md
"To generate an accurate forecast, historical data must be both complete (enough data with as few gaps as possible) and clean (free of irrelevant patterns). For example, incorrectly marked {% link_new events or public holidays | features/forecast/injixo-forecast/events-and-holidays.md %} will impact forecast quality.","Pour générer une prévision, les données historiques doivent être complètes (suffisamment de données, avec le moins d’écart possible) et précises (sans tendances non pertinentes). Par exemple, les {% link_new événements ou congés | features/forecast/injixo-forecast/events-and-holidays.md %} indiqués de manière incorrecte influenceront la qualité de la prévision.",what-is-the-injixo-forecast.md
"Historical data may include prolonged outages, or it may miss data for a particular timeframe. The closer that missing data is to the current day, the less the forecast quality is affected.","Les données historiques peuvent inclure des périodes d’inactivité prolongées, ou manquer de données pour une période particulière. Plus les données manquantes sont proches de la date actuelle, moins la qualité de la prévision est impactée.",what-is-the-injixo-forecast.md
Here are some tips on managing low data quality depending on how long the period with poor or missing data is:,Voici quelques conseils pour gérer les données de faible qualité selon la durée de la période concernée&nbsp;:,what-is-the-injixo-forecast.md
| Timeframe with poor quality data     | Tip                                                                                                                                                         |,| Période avec données de mauvaise qualité     | Conseil                                                                                                                                                         |,what-is-the-injixo-forecast.md
| -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------- |,| -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------- |,what-is-the-injixo-forecast.md
| A few days | Use {% link_new events | features/forecast/injixo-forecast/events-and-holidays.md %} to mark the affected days as an outage and exclude them from the calculation.                                  |,| Quelques jours | Utilisez les {% link_new événements | features/forecast/injixo-forecast/events-and-holidays.md %} pour marquer les jours affectés comme période d’indisponibilité et les exclure du calcul.                                  |,what-is-the-injixo-forecast.md
| A couple of weeks    | Upload additional data without gaps or irrelevant patterns. |,| Quelques semaines    | Ajoutez des données supplémentaires sans écarts ou tendances non pertinentes. |,what-is-the-injixo-forecast.md
| Several weeks or months  | Remove the data that predates the gap. Import only the data from after the gap.                            |,| Plusieurs semaines ou mois  | Supprimez les données précédant l’absence de données. Importez uniquement les données ultérieures à l’absence de données.                            |,what-is-the-injixo-forecast.md
"Note: If you cannot upload additional data or you do not have enough data after a gap, the Smart Forecast algorithms will automatically try to minimize the negative impact of missing data.","Remarque&nbsp;: si vous ne pouvez pas ajouter de données supplémentaires ou si vous n’avez pas assez de données après un écart, les algorithmes du Forecast Smart tenteront automatiquement de minimiser l’impact négatif des données manquantes.",what-is-the-injixo-forecast.md
> Check and clean up data before you import it,> Vérifiez et nettoyez vos données avant de les importer,what-is-the-injixo-forecast.md
>,>,what-is-the-injixo-forecast.md
> You cannot remove historical data. Contact your Customer Success team if needed.,> Vous ne pouvez pas supprimer les données historiques. Contactez votre équipe customer success si nécessaire.,what-is-the-injixo-forecast.md
## Forecast low volumes,## Prévision des faibles volumes,what-is-the-injixo-forecast.md
"injixo Forecast can generate forecasts for low and high contact volumes. When generating a forecast based on data from low contact volumes, injixo may not recognize the daily patterns. While rare, this may result in no forecast being generated for particular days. For single days, adjust the forecast manually. In a recurring situation, you can:","injixo Forecast peut générer des prévisions pour les volumes de contact faibles et élevés. Lors de la génération d’une prévision basée sur des volumes de contact faibles, injixo peut ne pas reconnaître les tendances journalières. Dans de rares cas, il est possible qu’aucune prévision ne soit générée pour certains jours. Pour les journées individuelles, ajustez la prévision manuellement. En cas de situation récurrente, vous pouvez&nbsp;:",what-is-the-injixo-forecast.md
- Add multiple queues to the workload (resulting in higher volumes).,- Ajouter plusieurs files d’attente au workload (ceci entraînera des volumes plus élevés).,what-is-the-injixo-forecast.md
"- Use another approach to generate staff requirements for scheduling, e.g. {% link_new generate constant staff requirements | features/forecast/requirement-scripts/requirement-constant.md %}.","- Utiliser une autre approche pour générer un besoin en personnel pour la planification, par exemple {% link_new générer un besoin en personnel constant | features/forecast/requirement-scripts/requirement-constant.md %}.",what-is-the-injixo-forecast.md
"In injixo Me, users with the agent role can {% link_new swap their shifts | features/injixo-me/use-injixo-me/swap-shifts-with-your-colleagues.md | #swap-shifts %} or days off with each other, both on the same day and on different days.","Dans injixo Me, les utilisateurs avec le rôle agent peuvent {% link_new échanger leurs journées | features/injixo-me/use-injixo-me/swap-shifts-with-your-colleagues.md | #échanger-des-journées %} ou congés entre eux, le même jour ou sur des jours différents.",view-approve-shift-swap-requests.md
This is how shift swap works:,Voici comment fonctionne la bourse d’échanges&nbsp;:,view-approve-shift-swap-requests.md
1. A person offers a shift in injixo Me.,1. Une personne propose un échange de journée dans injixo Me.,view-approve-shift-swap-requests.md
2. Other people can see the posted shift and offer their own shift in exchange.,2. Les autres personnes peuvent voir la journée proposée et offrir leur journée en échange.,view-approve-shift-swap-requests.md
3. The person who offers the shift selects the counter offer that best fits their needs.,3. La personne qui propose sa journée choisit la contre-proposition qui convient le mieux à ses besoins.,view-approve-shift-swap-requests.md
4. injixo automatically confirms the selection and creates the approval request if applicable.,4. injixo confirme la sélection et crée la demande de validation si nécessaire.,view-approve-shift-swap-requests.md
"5. A user with admin access or the planner role reviews, approves, or rejects the requested swap. To allow automatic approvals, change the setting _48152_{:.id-label} _Exchange Mode_ from 0 to 1.","5. Un utilisateur avec le rôle planificateur vérifie, valide ou refuse la demande d’échange. Pour permettre la validation automatique, configurez le paramètre _48152_{:.id-label} _Mode de déroulement des échanges de plannings_ sur la valeur 1.",view-approve-shift-swap-requests.md
"To see how people can swap shifts in injixo Me, read {% link_new Swap shifts with your colleagues | features/injixo-me/use-injixo-me/swap-shifts-with-your-colleagues.md | #swap-shifts %}.","Pour découvrir comment les membres de votre équipe peuvent utiliser injixo, lisez l’article sur la {% link_new bourse d'échange | features/injixo-me/use-injixo-me/swap-shifts-with-your-colleagues.md | #échanger-des-journées %}.",view-approve-shift-swap-requests.md
"Tip: In the {% link_new Team Calendar | features/injixo-me/set-up-injixo-me/configure-injixo-me.md %}, people can see their colleagues' working hours and ask for shift swaps.","Conseil&nbsp;: dans le {% link_new Calendrier de l’équipe | features/injixo-me/set-up-injixo-me/configure-injixo-me.md %}, les personnes peuvent voir les horaires de leurs collègues et demander des échanges dans la bourse d’échanges.",view-approve-shift-swap-requests.md
## Prerequisites,## Prérequis,view-approve-shift-swap-requests.md
A person with the agent role can offer a shift if:,"Les personnes avec le rôle agent peuvent proposer une journée, si les conditions suivantes sont remplies&nbsp;:",view-approve-shift-swap-requests.md
- {% link_new Shift swap is activated | features/injixo-me/set-up-injixo-me/configure-injixo-me.md %} in injixo Me.,- L’option {% link_new Bourse d’échanges | features/injixo-me/set-up-injixo-me/configure-injixo-me.md %} est activée dans la configuration d’injixo Me.,view-approve-shift-swap-requests.md
- all activities in a shift are {% link_new exchangeable with shift swap | features/administration/activity-types-and-properties.md %}.,- L’option {% link_new Bourse d’échanges | features/administration/activity-types-and-properties.md %} est activée pour toutes les activités de la journée.,view-approve-shift-swap-requests.md
"- a {% link_new scheduling period | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %} with status Shift bidding enabled, Published, or Finished exists.","- Une {% link_new période de planification | features/scheduling/schedules/scheduling-periods/what-are-scheduling-periods.md %} existe avec le statut Missions disponibles, Publiée ou Clôturée.",view-approve-shift-swap-requests.md
- the configured deadline for the planning period has not been reached yet.,- La Date limite paramétrée pour l’unité opérationnelle n’a pas encore été atteinte.,view-approve-shift-swap-requests.md
- the value configured in setting _48151_{:.id-label} allows shift swaps. The setting value sets the number of days from the current date until which a shift swap is possible without creating a risk to the current schedule.,"- La valeur du paramètre _48151_{:.id-label} autorise l’utilisation de la bourse d’échanges. La valeur du paramètre définit la date de démarrage possible pour les échanges à compter de la date actuelle, pour éviter de créer des conflits avec le planning actuel.",view-approve-shift-swap-requests.md
- they have view access to injixo Me.,- Ces personnes ont accès en lecture à injixo Me.,view-approve-shift-swap-requests.md
## Approve or reject swaps,## Valider ou refuser des échanges,view-approve-shift-swap-requests.md
"To review, approve, or reject shift swap requests in _Plan > Schedules_{:.breadcrumbs}, proceed as follows:","Pour vérifier, valider ou refuser les demandes d’échange de journées dans _Plan > Schedules_{:.breadcrumbs}, suivez les étapes ci-dessous&nbsp;:",view-approve-shift-swap-requests.md
1. Click _Scheduling actions_{:.doc-button}.,1. Cliquez sur _Actions de planification_{:.doc-button}.,view-approve-shift-swap-requests.md
2. Select **Approve shift swaps**.,2. Sélectionnez **Gérer les échanges de planning**.,view-approve-shift-swap-requests.md
3. Select a **planning unit**.,3. Sélectionnez une **unité opérationnelle**.,view-approve-shift-swap-requests.md
4. (Optional) Select a **selection**.,4. (Facultatif) Sélectionnez un **Groupe**.,view-approve-shift-swap-requests.md
"5. Select a **date range**. If you have not already selected a date range in Schedules, the date range defaults to today + seven days.","5. Sélectionnez une **Plage de dates**. Si vous n’avez pas encore sélectionné de plage de dates dans Schedules, la plage de dates sélectionnée par défaut est la date actuelle + sept jours.",view-approve-shift-swap-requests.md
6. Check the **checkboxes** next to one or more entries you want to approve or reject. Use the checkbox at the top to select all entries at once.,6. Cochez les **cases** en face des entrées que vous souhaitez valider ou refuser. Utilisez la première case de la liste pour sélectionner toutes les demandes.,view-approve-shift-swap-requests.md
7. Click _Approve selected_{:.doc-button} or _Reject selected_{:.doc-button}.,7. Cliquez sur _Accepter la sélection_{:.doc-button} ou _Refuser la sélection_{:.doc-button}.,view-approve-shift-swap-requests.md
"   After pending requests have been approved or rejected, they will move to the Information tab.","   Une fois les demandes en attente validées ou refusées, elles seront déplacées vers l’onglet Information.",view-approve-shift-swap-requests.md
"The Exchange Statistics report under _WFM > Monitoring > Reports_{:.breadcrumbs} lists the status of swaps (as _Offered_, _Not edited_, _Rejected_, and _Approved_) for a configurable period.","Le rapport Statistiques des échanges dans _WFM > Supervision > Reports_{:.breadcrumbs} contient une liste des statuts des échanges (Offres, Échanges en attente, Refus, Échanges validés) sur une période personnalisable.",view-approve-shift-swap-requests.md
## Generate a list of past swaps,## Créer une liste des échanges passés,view-approve-shift-swap-requests.md
"On the **Approve shift swaps** page, the Information tab shows which person has swapped which shift and at what time. The list shows approved, rejected and cancelled requests. For more information on cancelled requests, hover over the {% icon info_circle %}.","Sur la page **Gérer les échanges de planning**, l’onglet Information indique quelle personne a échangé sa journée et à quelle heure. La liste montre les demandes validées, refusées ou annulées. Pour plus d’informations sur les demandes annulées, faites passer votre curseur sur l’{% icon info_circle %}.",view-approve-shift-swap-requests.md
## Shift swap settings,## Paramètres de la bourse d’échanges,view-approve-shift-swap-requests.md
"Under _WFM > Administration > System > Settings_{:.breadcrumbs}, there are several settings to adapt the shift swap process to the needs of your business:","Dans _WFM > Administration > Système > Configuration_{:.breadcrumbs}, plusieurs paramètres sont disponibles pour adapter le processus d’échange de planning aux besoins de votre organisation&nbsp;:",view-approve-shift-swap-requests.md
- _48151_{:.id-label} _Barred period for the Shift Exchange_: Number of days from the current date when a swap is no longer possible (default: 3 days).,"- _48151_{:.id-label} _Date pour le blocage des échanges dans la Bourse d'échanges_&nbsp;: nombre de jours à partir de la date en cours pendant lesquels un échange de planning ne peut avoir lieu (par exemple&nbsp;: 3 jours),",view-approve-shift-swap-requests.md
"- _48152_{:.id-label} _Exchange Mode_: Configure whether a user with admin access or the planner role must approve shift swaps between people (Defaults to 0 for approval, choose 1 for automatic swaps without approval).","- _48152_{:.id-label} _Mode de déroulement des échanges de planning_&nbsp;: permet de déterminer si un utilisateur disposant de droits admin ou du rôle planificateur doit valider les échanges de planning (la valeur par défaut est de 0, la valeur 1 active la validation automatique des échanges),",view-approve-shift-swap-requests.md
"- _48153_{:.id-label} _Exchange Entitlement_: Swaps between people of one planning unit (value 0, default), a selection (value 1) or different planning units (value 2, not recommended).","- _48153_{:.id-label} _Déterminer les employés habilités à échanger leurs plannings_&nbsp;: autorise les personnes d’une unité opérationnelle (valeur par défaut, 0), d’un groupe (valeur 1) ou de différentes unités opérationnelles (valeur 2, non recommandé) à échanger leurs plannings,",view-approve-shift-swap-requests.md
"- _48555_{:.id-label} _Exchanging workdays against free days_: Allow people to swap shifts for days off (default: 0, no).","- _48555_{:.id-label} _Autoriser les échanges de jours planifiés avec des jours libres_&nbsp;: autorise les personnes à échanger des journées contre des congés (valeur par défaut&nbsp:0, non),",view-approve-shift-swap-requests.md
"- _48556_{:.id-label} _Exchanging different days_: Allow people to swap shifts on different days of the week (default: 0, no).","- _48556_{:.id-label} _Autoriser les échanges pour des dates non concordantes_&nbsp;: autorise les personnes à échanger des journées sur différents jours de la semaine (valeur par défaut&nbsp;: 0, non),",view-approve-shift-swap-requests.md
"- _48999_{:.id-label} _Enable specific checks for subactivities of multi-activities in association with scheduling rule 2605_: injixo checks the skills for each subactivity when exchanging multiactivities (default: 0, no check).","- _48999_{:.id-label} _Activer des contrôles spécifiques pour les sous-activités de multiactivités en association avec la règle de planification 2605_&nbsp;: injixo vérifie les compétences pour chaque sous-activité lors de l’échange de multi-activités (valeur par défaut&nbsp;: 0, pas de vérification).",view-approve-shift-swap-requests.md
## When shift swaps are blocked,## Pourquoi les échanges de planning sont-ils bloqués&nbsp;?,view-approve-shift-swap-requests.md
People can see and swap shifts offered in injixo Me if the swap request complies with the rules of their contract (contractual working hours) and if they have the necessary skills.,Les membres de votre équipe peuvent voir les échanges offerts dans injixo Me si les demandes sont conformes aux règles de leur contrat (heures de travail contractuelles) et s’ils disposent des compétences nécessaires.,view-approve-shift-swap-requests.md
"To find out why the swap is prevented in injixo Me, simulate the swap in the _Shift Center_{:.menu-item}. When copying and pasting the shifts, the {% link_new message window | features/scheduling/shiftcenter/shift-center-overview.md | #message-window %} at the bottom of the screen will display the {% link_new scheduling rule | features/administration/create-contracts.md | #scheduling-rules %} and the reason, e.g. wrong skills or other contractual constraints.","Pour savoir pourquoi l’échange est bloqué dans injixo Me, simulez l’échange dans le _Centre de planification_{:.menu-item}. Lorsque vous copiez et collez les journées, la {% link_new fenêtre | features/scheduling/shiftcenter/shift-center-overview.md | #message-window %} en bas de l’écran affichera la {% link_new règle de planification | features/administration/create-contracts.md %} et le motif d’erreur. Par exemple, l’absence de compétences ou autres contraintes contractuelles.",view-approve-shift-swap-requests.md
You can combine all {% link_new scheduling methods | features/scheduling/scheduling-methods.md %} in many ways to create schedules that balance the needs of your people and those of your business.,Vous pouvez combiner toutes les méthodes de planning de nombreuses façons pour créer des plannings permettant d’obtenir un équilibre entre les besoins de vos employés et ceux de votre organisation.,combined-scheduling-methods.md
The following examples show some common use cases for combining scheduling methods. You can also use other scheduling methods combinations to best meet the needs of your organization.,Les exemples suivants illustrent certains scénarios courants de combinaison des méthodes de planification. Vous pouvez également utiliser d’autres combinaisons de méthodes de planification pour répondre au mieux aux besoins de votre organisation.,combined-scheduling-methods.md
## Use case 1: People with flexible shifts plus people with specific working hours or days,## Scénario 1&nbsp;: employés avec horaires flexibles et employés avec heures ou jours de travail spécifiques,combined-scheduling-methods.md
"For this use case, you can combine fixed scheduling with either rotating flexible shifts, or fully flexible shifts.","Pour ce scénario, vous pouvez combiner la planification fixe avec des roulements flexibles ou des horaires totalement flexibles.",combined-scheduling-methods.md
"To plan your people using this combination, you first need to configure the configuration data shown in the following table, and assign it to the relevant people:","Pour planifier vos employés à l’aide de cette combinaison, vous devez d’abord paramétrer les données de configuration indiquées dans le tableau suivant et les assigner aux employés concernés&nbsp;:",combined-scheduling-methods.md
| People with flexible shifts            | People with specific working hours or days                                                                                                                |,| Employés avec horaires flexibles            | Employés travaillant sur des créneaux ou des jours spécifiques                                                                                                                |,combined-scheduling-methods.md
| -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,| -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,combined-scheduling-methods.md
"| Assign the work time pattern models you want to use to them. | Create specific shift sequences defining the hours or days when they should work, and leave the rest of the week blank.<br>Assign the shift sequence and the relevant work time pattern models to them.                                    |",| Assignez aux employés le modèle de planification que vous souhaitez utiliser. | Créez des rotations d’horaires qui définissant les horaires ou les jours sur lesquels ils doivent travailler et laissez le reste de la semaine vide. <br>Assignez aux employés la rotation d’horaires et les modèles de planification pertinents.                                     |,combined-scheduling-methods.md
"To schedule your people, follow these steps:","Pour planifier vos employés, suivez ces étapes&nbsp;:",combined-scheduling-methods.md
1. Insert your shift sequences.,1. Insérez vos rotations d’horaires.,combined-scheduling-methods.md
2. Use the **Create optimized schedule** functionality.<br>injixo will schedule your rotating and fully flexible shifts to complement the coverage provided by the shift sequences.,2. Utilisez la fonctionnalité **Optimiser le planning**.<br>injixo planifiera vos rotations et horaires totalement flexibles pour compléter la couverture fournie par les rotations d’horaires.,combined-scheduling-methods.md
## Use case 2: People with rotating shifts plus people with flexible shifts,## Scénario 2&nbsp;: employés en roulement et employés avec horaires fixes,combined-scheduling-methods.md
"For this use case, you can combine rotating flexible shifts and fully flexible shifts.","Pour ce scénario, vous pouvez combiner la planification fixe avec des roulements flexibles ou des horaires totalement flexibles.",combined-scheduling-methods.md
"To plan your people using this combination, you first need to assign the configuration data to the relevant people, as shown in the following table:","Pour planifier vos employés à l’aide de cette combinaison, vous devez d’abord assigner les données de configuration aux employés concernés, comme indiqué dans le tableau ci-dessous&nbsp;:",combined-scheduling-methods.md
| People with rotating flexible shifts           | People with fully flexible shifts                                                                                                                |,| Employés avec roulements flexibles           | Employés avec horaires totalement flexibles                                                                                                                |,combined-scheduling-methods.md
| -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,| -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,combined-scheduling-methods.md
| Assign work time pattern models of type B or D to them. | Assign work time pattern models of type A to them.                                   |,| Assignez-leur des modèles de planification de type B ou D. | Assignez-leur des modèles de planification de type A.                                   |,combined-scheduling-methods.md
"Use the **Create optimized schedule** functionality.<br>People with rotating flexible shifts will be assigned the rotation defined by their work time pattern models, and people with fully flexible shifts will fill up the rest of the schedule.",Utilisez la fonctionnalité **Optimiser le planning**.<br>Les employés avec rotations flexibles se verront assigner la rotation définie par leurs modèles de planification et ceux avec des horaires totalement flexibles seront assignés au reste du planning.,combined-scheduling-methods.md
