en,de,file
"<td>Skills represent the qualifications of your people. By assigning skills to people, they become qualified to work on certain activities. injixo requires you to assign skills to activities that only certain people can work on. You are not required to add skills to the activities that everybody can work on.</td>","<td>Qualifikationen stehen für die Fähigkeiten deiner Mitarbeiter. Wenn du Mitarbeitern Qualifikationen zuweist, können sie bestimmte Aktivitäten bearbeiten. injixo setzt voraus, dass du Qualifikationen zu Aktivitäten hinzufügst, die nur bestimmte Mitarbeiter bearbeiten können. Du musst keine Qualifikationen zu Aktivitäten hinzufügen, die von allen Mitarbeitern bearbeitet werden können.</td>",set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<td>{% link_new Activities | features/administration/activities.md %}</td>,<td>{% link_new Aktivitäten | features/administration/activities.md %}</td>,set-up-base-configuration.md
"<td>Activities are tasks, meetings, and time off that you schedule and report on in your company.<br> Activities are added to day models and planning units.</td>","<td>Aktivitäten sind die Aufgaben, Meetings und Abwesenheiten, die du in deinem Unternehmen planst und zu denen du Reports erstellst.<br> Aktivitäten werden zu Tagesmodellen und Planungseinheiten hinzugefügt.</td>",set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<td>{% link_new Day models | features/administration/daymodels/daymodel-creation.md %}</td>,<td>{% link_new Tagesmodelle | features/administration/daymodels/daymodel-creation.md %}</td>,set-up-base-configuration.md
"<td>Day models are shift templates. Day models define the start and end times of a shift, as well as how many hours a person works per day. They contain all presence, break, and absence activities in a shift.<br>Day models are assigned to planning units. They can also be grouped in week time patterns (optional).</td>","<td>Tagesmodelle sind Vorlagen für Schichten. Sie legen die Start- und Endzeiten einer Schicht fest wie auch die Anzahl an Stunden, die ein Mitarbeiter pro Tag arbeitet. Sie enthalten alle Anwesenheits-, Pausen- und Abwesenheitsaktivitäten einer Schicht.<br>Tagesmodelle werden zu Planungseinheiten hinzugefügt. Sie können zudem in Wochenmodellen gruppiert werden (optional).</td>",set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<td>{% link_new Planning units | features/administration/create-and-manage-planning-units.md %}</td>,<td>{% link_new Planungseinheiten | features/administration/create-and-manage-planning-units.md %}</td>,set-up-base-configuration.md
<td>Planning units represent your real or virtual locations. They are used to group people for scheduling purposes.</td>,"<td>Planungseinheiten stehen für die realen oder virtuellen Unternehmensstandorte. Sie dienen dazu, Mitarbeiter zu Planungszwecken zu gruppieren.</td>",set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<td>{% link_new Contracts | features/administration/create-contracts.md %}</td>,<td>{% link_new Verträge | features/administration/create-contracts.md %}</td>,set-up-base-configuration.md
"<td>Contracts contain information about your people's contractual working arrangements, including their target, minimum, and maximum work hours each day, week, or month.<br>Contracts are assigned to people.</td>","<td>Verträge enthalten Informationen über die vertraglich vereinbarten Arbeitsbedingungen. Dazu gehören die Sollstunden sowie die minimale und maximale Arbeitszeit pro Tag, Woche oder Monat.<br>Verträge werden Mitarbeitern zugewiesen.</td>",set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<td>{% link_new Employees | features/administration/employee-overview.md %}</td>,<td>{% link_new Mitarbeiter | features/administration/employee-overview.md %}</td>,set-up-base-configuration.md
"<td>In Employees, you enter information about each person you schedule. Based on that and their assignments (day models, planning units, contracts, skills), injixo knows when your people can work and what they can work on.</td>","<td>Unter Mitarbeiter kannst du Informationen zu jedem Mitarbeiter eintragen, den du planst. Diese Informationen und die Konfigurationselemente, die Mitarbeitern zugewiesen werden (Tagesmodelle, Planungseinheiten, Verträge, Qualifikationen), dienen injixo als Grundlage für die Planung, wann und woran Mitarbeiter arbeiten können.</td>",set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
</tbody>,</tbody>,set-up-base-configuration.md
</table>,</table>,set-up-base-configuration.md
### Optional configuration elements,### Optionale Konfigurationselemente,set-up-base-configuration.md
"The table below gives an overview of the optional configuration items you can configure in injixo, based on your organizational setup and the scheduling method you want to use.","Die folgende Tabelle bietet eine Übersicht über die optionalen Konfigurationselemente, die du in injixo einrichten kannst. Sie hängen größtenteils von der Planungsmethode und den Gegebenheiten in deinem Unternehmen ab.",set-up-base-configuration.md
<table>,<table>,set-up-base-configuration.md
<colgroup>,<colgroup>,set-up-base-configuration.md
"<col style=""width: 25%;"">","<col style=""width: 25%;"">",set-up-base-configuration.md
"<col style=""width: 75%;"">","<col style=""width: 75%;"">",set-up-base-configuration.md
</colgroup>,</colgroup>,set-up-base-configuration.md
<thead>,<thead>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<th>Configuration item</th>,<th>Konfigurationselement</th>,set-up-base-configuration.md
<th>Description</th>,<th>Beschreibung</th>,set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
</thead>,</thead>,set-up-base-configuration.md
<tbody>,<tbody>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<td>{% link_new Shift sequences | features/administration/shift-sequences.md %} (required for fixed scheduling)</td>,<td>{% link_new Schichtfolgen | features/administration/shift-sequences.md %} (erforderlich für fixe Schichtplanung)</td>,set-up-base-configuration.md
<td>A shift sequence is a set of day models or activities with a repeating pattern.<br>Shift sequences are assigned to people.</td>,"<td>Eine Schichtfolge ist eine Abfolge von Tagesmodellen oder Aktivitäten, die sich regelmäßig wiederholt.<br>Schichtfolgen werden Mitarbeitern zugewiesen.</td>",set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<td>{% link_new Selections | features/administration/selections.md %}</td>,<td>{% link_new Auswahlen | features/administration/selections.md %}</td>,set-up-base-configuration.md
"<td>Selections allow you to filter and group people or to schedule them based on any given criteria, e.g., people who share the same team or contract type.<br> Selections are assigned to people.</td>","<td>Mit Auswahlen kannst du Mitarbeiter anhand verschiedenster Parameter filtern, gruppieren oder planen, z.&nbsp;B. Mitarbeiter, die demselben Team angehören oder den gleichen Vertragstyp haben.<br> Auswahlen werden Mitarbeitern zugewiesen.</td>",set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<td>{% link_new Work time pattern models and week time patterns | features/administration/work-time-pattern-models.md %}</td>,<td>{% link_new Planungsmodelle und Wochenmodelle | features/administration/work-time-pattern-models.md %}</td>,set-up-base-configuration.md
"<td>Work time pattern models and week time patterns help you organize shifts by ensuring a fair distribution of (rotating) shifts among the people you schedule. Work time pattern models contain at least one week time pattern. Week time patterns group shifts by parameters such as start time, shift length, or activities. They contain sets of day models.<br>Week time patterns are assigned to work time pattern models. Work time pattern models are assigned to people.</td>","<td>Planungsmodelle und Wochenmodelle helfen dir dabei, deine Schichten so aufzubauen, dass du sie gerecht unter den Mitarbeitern rotieren kannst. Planungsmodelle bestehen aus einem oder mehreren Wochenmodellen. Wochenmodelle gruppieren Schichten nach Parametern wie Startzeit, Schichtlänge oder Aktivitäten. Sie enthalten eine Zusammenstellung von Tagesmodellen.<br>Wochenmodelle werden zu Planungsmodellen hinzugefügt. Planungsmodelle werden Mitarbeitern zugewiesen.</td>",set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
<tr>,<tr>,set-up-base-configuration.md
<td>{% link_new Planning calendars and day types | features/administration/planning-calendar.md %}</td>,<td>{% link_new Planungskalender und Tagestypen | features/administration/planning-calendar.md %}</td>,set-up-base-configuration.md
"<td>Planning calendars contain days with deviating business hours and staffing needs (e.g., marketing campaign days or national holidays). These special days are configured using day types. This helps ensure they are automatically considered during scheduling without any additional manual effort.<br> Planning calendars are assigned to planning units.</td>","<td>Planungskalender enthalten Tage mit abweichenden Geschäftszeiten und Mitarbeiterbedarf (z.&nbsp;B. Marketingkampagnen oder bundesweite Feiertage). Diese speziellen Tage werden mit Tagestypen konfiguriert. Dies sorgt dafür, dass sie bei der Schichtplanung automatisch ohne weiteren manuellen Aufwand berücksichtigt werden.<br> Planungskalender werden zu Planungseinheiten hinzugefügt.</td>",set-up-base-configuration.md
</tr>,</tr>,set-up-base-configuration.md
</tbody>,</tbody>,set-up-base-configuration.md
</table>,</table>,set-up-base-configuration.md
## What's next?,## Wie geht’s weiter?,set-up-base-configuration.md
Congratulations! You are ready to {% link_new create your first forecast | getting-started/calculate-a-forecast.md %}. Happy planning!,Geschafft! Du kannst jetzt deinen ersten {% link_new Forecast erstellen | getting-started/calculate-a-forecast.md %}. Viel Spaß beim Planen!,set-up-base-configuration.md
