en,es,file
"**Basic information**: Enter a **Name**, an **Abbreviation**, and an optional **Description**.","**Información básica**: introduce un **nombre**, una **abreviatura** y, opcionalmente, una **descripción**.",configure-user-roles.md
**Role category**: Displays the pre-selected **Role category**.,**Categoría de rol**: muestra la **categoría de rol** preseleccionada.,configure-user-roles.md
3.,3.,configure-user-roles.md
(Optional) Edit the default permissions.,(Opcional) Modifica los permisos predeterminados.,configure-user-roles.md
"In the **Permissions** section, a gray checkmark icon next to a component name indicates that all permissions for this component are granted by default.","En la sección **Permisos**, una marca de verificación gris junto al nombre de un componente indica que todos los permisos para este componente se otorgan de forma predeterminada.",configure-user-roles.md
A gray minus icon indicates that some permissions for this component are not granted by default.,Un símbolo de menos gris indica que algunos permisos para este componente no se conceden por defecto.,configure-user-roles.md
"Component: To grant permissions for all features in a component, check the checkbox next to the component name.","Componente: para otorgar permisos para todas las funcionalidades de un componente, marca la casilla junto al nombre del componente.",configure-user-roles.md
"Feature: To grant permissions for single features, click the arrow pointing down next to a component name.","Funcionalidad: para otorgar permisos para una funcionalidad concreta, haz clic en la flecha hacia abajo junto al nombre de un componente.",configure-user-roles.md
Check the checkbox(es) next to the feature(s).,Marca la casilla o casillas junto a la funcionalidad o funcionalidades para las que quieras configurar permisos.,configure-user-roles.md
"To view all sections, click **Uncollapse all**.","Para ver todas las secciones, haz clic en **Expandir todo**.",configure-user-roles.md
"To close all sections, click **Collapse all**.","Para cerrar todas las secciones, haz clic en **Contraer todo**.",configure-user-roles.md
"To reset any selected permissions to the default user role, click **Reset to default**.","Para anular tu selección y restablecer los valores predeterminados para el rol de usuario predeterminado, haz clic en **Restablecer los permisos predeterminados**.",configure-user-roles.md
4.,4.,configure-user-roles.md
"To save the new user role, click _Create user role_{:.doc-button}.","Para guardar el nuevo rol de usuario, haz clic en _Crear rol de usuario_{:.doc-button}.",configure-user-roles.md
"To [set WFM permissions](#set-wfm-permissions) for the new user role, click _Create and go to Role Authorization_{:.doc-button}.","Para [configurar permisos para WFM](#configurar-permisos-para-wfm) para el nuevo rol de usuario, haz clic en _Crear e ir a Autorizaciones de los roles_{:.doc-button}.",configure-user-roles.md
Assign user roles to users,Asignar roles de usuario a los usuarios,configure-user-roles.md
1.,1.,configure-user-roles.md
Go to _Account > Users_{:.breadcrumbs}.,Ve a _Account > Usuarios_{:.breadcrumbs}.,configure-user-roles.md
2.,2.,configure-user-roles.md
Click a **Name**.,Haz clic en un nombre.,configure-user-roles.md
3.,3.,configure-user-roles.md
"Under **Assign user role(s)**, check one or more checkboxes.","En **Asignar rol(es) de usuario**, marca una o varias casillas.",configure-user-roles.md
"To filter the displayed user roles, use the **Search user roles** input field.","Para filtrar los roles de usuario mostrados, usa el campo **Buscar roles de usuario**.",configure-user-roles.md
4.,4.,configure-user-roles.md
Click _Save_{:.doc-button}.,Haz clic en _Guardar_{:.doc-button}.,configure-user-roles.md
Set WFM permissions,Configurar permisos para WFM,configure-user-roles.md
1.,1.,configure-user-roles.md
"Under _Account > User roles_{:.breadcrumbs}, select a user role.","En _Account > Roles de usuario_{:.breadcrumbs}, selecciona un rol de usuario.",configure-user-roles.md
2.,2.,configure-user-roles.md
"In the **Permissions** section, click **Go to Role authorization**.","En la sección **Permisos**, haz clic en **Ir a Autorizaciones de los roles**.",configure-user-roles.md
You will be redirected to _WFM > Administration > System > Role authorization_{:.breadcrumbs}.,injixo te redirige a _WFM > Gestión > Sistema > Autorizaciones de los Roles_{:.breadcrumbs}.,configure-user-roles.md
3.,3.,configure-user-roles.md
"In the **Navigator** section on the right, check or uncheck the checkboxes to add or remove permissions.","En la sección **Panel de navegación** en la derecha, marca o desmarca las casillas para añadir o retirar permisos.",configure-user-roles.md
"4 | image: ""Navigator section in WFM role authorization"", '60%' }}","4 | image: ""Sección Panel de navegación en la página Autorizaciones de los roles en WFM"", '60%' }}",configure-user-roles.md
Note,Atención,configure-user-roles.md
>,>,configure-user-roles.md
Individual user permissions can overwrite role-based permissions (also for users with admin access).,Los permisos individuales de un usuario pueden sobrescribir los permisos basados en roles (también para usuarios con acceso de administrador).,configure-user-roles.md
>,>,configure-user-roles.md
Use only role-based permissions whenever possible.,Usa exclusivamente permisos basados en roles siempre que sea posible.,configure-user-roles.md
You can change permissions for individual users under _WFM > Administration > System > User Authorization_{:.breadcrumbs} but such changes will overwrite the role-based permissions.,"Puedes modificar los permisos para usuarios individuales en _WFM > Gestión > Sistema > Derechos de usuarios_{:.breadcrumbs}, pero los cambios sobrescribirán los permisos basados en roles.",configure-user-roles.md
>,>,configure-user-roles.md
"To reset specific user permissions, you may need to temporarily remove admin access to activate the grayed-out checkboxes on the user authorization page.","Para restablecer los permisos de usuarios específicos, es posible que debas eliminar temporalmente el acceso de administrador para activar las casillas de verificación desactivadas en la página de derechos de usuario.",configure-user-roles.md
Click the Reset icon {% icon asterisk | icon-only %} to reset to role default.,Haz clic en el icono de Restablecer {% icon asterisk | icon-only %} para volver a la configuración predeterminada del rol.,configure-user-roles.md
Manage team access: Restrict access to configuration data,Gestionar el acceso a los equipos: restringir el acceso a los datos de configuración,configure-user-roles.md
"If your organization includes several teams and you want to restrict access to the teams' data, you can add more than one user role to a user.","Si tu organización incluye distintos equipos y quieres restringir el acceso a los datos de los equipos, puedes asignar varios roles a un mismo usuario.",configure-user-roles.md
injixo combines the permissions defined by different user roles.,injixo combina los permisos de los distintos roles de usuario.,configure-user-roles.md
"You can restrict access to elements such as planning units, day models, activities, or reports.","Puedes restringir el acceso a elementos como unidades de planificación, modelos de horario, actividades o informes.",configure-user-roles.md
**Example**,**Ejemplo**,configure-user-roles.md
"If all your planners should have access to the schedule but each planner should only be able to edit the data of their own planning unit, you can assign two user roles to each planner.","Quieres que todos los planificadores tengan acceso a la planificación. Al mismo tiempo, quieres que cada planificador pueda editar solamente los datos de su propia unidad de planificación. En este caso, puedes asignar dos roles a cada planificador.",configure-user-roles.md
"You can create a new user role with no access to specific planning units, or remove access to all planning units from an existing user role. To remove access to all planning units from an existing user role, proceed as follows:","Puedes crear un rol sin acceso a unidades de planificación específicas o retirarle a un rol existente el acceso a todas las unidades de planificación. Para retirarle a un rol el acceso a todas las unidades de planificación, sigue estos pasos:",configure-user-roles.md
1.,1.,configure-user-roles.md
Go to _Account > User roles_{:.breadcrumbs}.,Ve a _Account > Roles de usuario_{:.breadcrumbs}.,configure-user-roles.md
2.,2.,configure-user-roles.md
Select the user role.,Selecciona el rol de usuario.,configure-user-roles.md
3.,3.,configure-user-roles.md
Click **Go to Role Authorization**.,Haz clic en **Ir a Autorizaciones de los roles**.,configure-user-roles.md
4.,4.,configure-user-roles.md
Scroll to the **Planning Units** section (or use the quick link on top).,Desplázate hasta la sección **Unidades de planificación** (o usa el enlace en la parte superior).,configure-user-roles.md
5.,5.,configure-user-roles.md
Click the {% icon item-delete %} next to the [ALL] entry to delete access to all planning units.,Haz clic en el {% icon item-delete %} junto a [Todas] para retirar el acceso a todas las unidades de planificación.,configure-user-roles.md
6.,6.,configure-user-roles.md
Click _OK_{:.doc-button}.,Haz clic en _Aceptar_{:.doc-button}.,configure-user-roles.md
Add access to the specific planning unit to other roles as follows:,"Para otorgar a otros roles acceso a unidades de planificación específicas, sigue estos pasos:",configure-user-roles.md
1.,1.,configure-user-roles.md
Select the second user role.,Selecciona el segundo rol de usuario.,configure-user-roles.md
2.,2.,configure-user-roles.md
"In the **Planning Units** section, click the {% icon item-add %}.","En la sección **Unidades de planificación**, haz clic en el {% icon item-add %}.",configure-user-roles.md
3.,3.,configure-user-roles.md
Select the planning unit(s) from the list.,Selecciona la unidad o unidades de planificación en cuestión.,configure-user-roles.md
Press **CTRL** or **Shift** while clicking to select multiple planning units.,Mantén pulsada la tecla **Ctrl** o **Mayús** mientras haces clic para seleccionar varias unidades de planificación.,configure-user-roles.md
4.,4.,configure-user-roles.md
"Under **Access Authorization**, check one or more checkboxes to set **Read**, **Edit**, and **Delete** rights.","En **Derechos de acceso**, marca las casillas para permitir **Leer**, **Editar** o **Eliminar**.",configure-user-roles.md
5.,5.,configure-user-roles.md
Click _OK_{:.doc-button}.,Haz clic en _Aceptar_{:.doc-button}.,configure-user-roles.md
"To complete the configuration, go to _Account > Users_{:.breadcrumbs} and [assign the roles to your users](#assign-user-roles-to-users).","Para completar tu configuración, ve a _Account > Usuarios_{:.breadcrumbs} y [asigna roles de usuario a tus usuarios](#asignar-roles-de-usuario-a-los-usuarios)",configure-user-roles.md
Edit custom or default user roles,Modificar roles de usuario predeterminados o personalizados,configure-user-roles.md
1.,1.,configure-user-roles.md
Go to _Account > User Roles_{:.breadcrumbs}.,Ve a _Account > Roles de usuario_{:.breadcrumbs}.,configure-user-roles.md
2.,2.,configure-user-roles.md
Select the user role you want to change.,Selecciona el rol de usuario que quieres modificar.,configure-user-roles.md
3.,3.,configure-user-roles.md
Make the changes to the user role and click _Save changes_{:.doc-button}.,Lleva a cabo los cambios y haz clic en _Guardar cambios_{:.doc-button}.,configure-user-roles.md
Delete custom user roles,Eliminar roles de usuario personalizados,configure-user-roles.md
1.,1.,configure-user-roles.md
Go to _Account > User Roles_{:.breadcrumbs}.,Ve a _Account > Roles de usuario_{:.breadcrumbs}.,configure-user-roles.md
2.,2.,configure-user-roles.md
Select the user role.,Selecciona el rol de usuario.,configure-user-roles.md
3.,3.,configure-user-roles.md
Click _Delete user role_{:.doc-button} on the bottom right.,Haz clic en _Eliminar rol de usuario_{:.doc-button} abajo a la derecha.,configure-user-roles.md
You cannot delete default user roles.,No puedes eliminar roles de usuario predeterminados.,configure-user-roles.md
