en,it,article
| Activity         | The activity for which you want to calculate the staff requirements.                                                                                                                                            |,| Attività         | L’attività per la quale vuoi calcolare il fabbisogno di personale.                                                                                                                                            |,outbound-calls-script.md
| Minimum Staff    | The minimum number of people required per interval. Enter a value to overwrite intervals with lower staff requirements.                                                                                          |,| Risorse minime    | Il numero minimo di dipendenti necessari per intervallo. Inserisci un valore per sovrascrivere gli intervalli che hanno un fabbisogno di personale più basso.                                                                                          |,outbound-calls-script.md
| Maximum Staff    | The maximum number of people required per interval. Enter a value to overwrite intervals with higher staff requirements.                                                                                         |,| Risorse massime    | Il numero massimo di dipendenti necessari per intervallo. Inserisci un valore per sovrascrivere gli intervalli che hanno un fabbisogno di personale più alto.                                                                                         |,outbound-calls-script.md
## Run the script,## Avviare lo script,outbound-calls-script.md
"- To start the calculation, click _OK_{:.doc-button}.<br>A window opens and displays the input parameters you selected and the script results.","- Per avviare il calcolo, clicca su _OK_{:.doc-button}.<br>Si apre una finestra che mostra i parametri che hai selezionato e i risultati dello script.",outbound-calls-script.md
You can see the {% link_new saved staff requirements in Shift Center | features/scheduling/edit-or-delete-staff-requirements.md %}., Puoi vedere il {% link_new fabbisogno di personale nel Centro dei turni | features/scheduling/edit-or-delete-staff-requirements.md %}.,outbound-calls-script.md
"Note: In injixo Enterprise on-premise, go to _WFM > Forecast > ForecastPro > Forecast_{:.breadcrumbs} or _WFM > Administration > Forecasting > Scripts_{:.breadcrumbs}. The script requires an existing forecast for the combination of queue, value type, and version. The script name may vary because you can enter a custom name when creating the script.","Nota: in injixo Enterprise on-premise, vai su *WFM > Forecasting > ForecastPro > Forecasting*{:.breadcrumbs} o *WFM > Administration > Forecasting > Script*{:.breadcrumbs}. Lo script richiede una previsione esistente per la combinazione di coda, tipo di valore e versione. Il nome dello script potrebbe variare dal momento che è possibile dare allo script un nome personalizzato quando lo si crea.",outbound-calls-script.md
## What is the redial rate?,## Che cos’è il tasso di ricomposizione?,outbound-calls-script.md
"The redial rate is the percentage of calls that are attempted again after unsuccessful attempts. The process of making additional attempts (known as redials) continues until the number of unanswered calls is less than 1.<br>Example: You want to reach a total of 5,000 people. A redial rate of 10% means that 500 unanswered calls are redialed during the second attempt, 50 unanswered calls are redialed during the third attempt, 5 unanswered calls are redialed during the fourth attempt. In this case, the total number of attempted calls is 5,555.","Il tasso di ricomposizione è la percentuale di chiamate che vengono ritentate dopo dei tentativi infruttuosi. I tentativi di chiamata vengono ripetuti finché il numero di chiamate senza risposta è minore di 1.<br>Esempio: vuoi raggiungere un totale di 5000 persone. Un tasso di ricomposizione del 10% significa che durante il secondo tentativo vengono ritentate 500 chiamate senza risposta, durante il terzo tentativo vengono ritentate 50 chiamate senza risposta, durante il quarto tentativo vengono ritentate 5 chiamate senza risposta. In questo esempio il numero totale di chiamate effettuate è 5555.",outbound-calls-script.md
Multiactivity script,Script per le multiattività,multiactivity-script.md
Calculate staff requirements for multiactivities.,Calcolare il fabbisogno di personale per le multiattività.,multiactivity-script.md
Use the Multiactivity script to calculate staff requirements for your multiactivities. The calculation is based on Erlang-C using a service level.,Utilizza lo script per le multiattività per calcolare il fabbisogno di personale per le tue multiattività. Il calcolo si basa su Erlang-C e sul livello di servizio.,multiactivity-script.md
## Prerequisites,## Prerequisiti,multiactivity-script.md
- Create at least one {% link_new multiactivity | features/administration/activity-types-and-properties.md | #subactivities %} and assign it to your planning unit.,- Crea almeno una {% link_new multiattività | features/administration/activity-types-and-properties.md | #subattività %} e assegnala alla tua unità di pianificazione.,multiactivity-script.md
- Create a {% link_new workload | features/forecast/injixo-forecast/create-workloads.md | #create-workloads %} for each subactivity of the multiactivity.,- Crea un {% link_new workload | features/forecast/injixo-forecast/create-workloads.md | #creare-un-workload %} per ogni subattività della multiattività.,multiactivity-script.md
## Export the forecast for all subactivity workloads,## Esportare la previsione per tutti i workload delle subattività,multiactivity-script.md
"Before you can run the Multiactivity script, export the forecasts for the workloads created of all subactivities:","Prima di poter eseguire lo script per le multiattività, esporta le previsioni per i workload creati per tutte le subattività:",multiactivity-script.md
"1. In _Forecast > Workloads_{:.breadcrumbs}, select the workload you created for a subactivity.",1. In _Forecast > Workloads_{:.breadcrumbs} seleziona il workload che hai creato per una subattività.,multiactivity-script.md
"2. Select the time frame using the date picker. Click on a week number to select the whole week, or click any day and drag to select a period shorter or longer than a week.","2. Seleziona il periodo nel selettore di data. Clicca sul numero della settimana per selezionare la settimana per intero, oppure clicca e trascina per selezionare un periodo più breve o più lungo.",multiactivity-script.md
"3. From the {% icon ellipsis_v %} at the top right, select **Use forecast**.","3. Dal {% icon ellipsis_v %} in alto a destra, seleziona **Utilizza previsione**.",multiactivity-script.md
"4. In the window that opens, select the forecast you want to use.",4. Nella finestra che si apre seleziona la previsione che vuoi utilizzare.,multiactivity-script.md
5. Click _Use forecast_{:.doc-button}.,5. Clicca su _Utilizza previsione_{:.doc-button}.,multiactivity-script.md
6. Click _Close_{:.doc-button}.,6. Clicca su _Chiudi_{:.doc-button}.,multiactivity-script.md
7. Repeat the steps 1-6 for all the workloads created for your subactivities.,7. Ripeti i passaggi dall’1 al 6 per tutti i workload creati per le tue subattività.,multiactivity-script.md
"injixo saves the data required for the staff requirements calculation into queues in _WFM > Administration > Forecasting > Queues_{:.breadcrumbs}. Queues have the name of the corresponding workload with a leading asterisk, e.g.\*yourWorkloadName.","injixo salva i dati necessari al calcolo del fabbisogno di personale in code in _WFM > Administration > Forecasting > Servizi_{:.breadcrumbs}. Le code hanno il nome del workload corrispondente, preceduto da un asterisco, per esempio: *nomeDelWorkload.",multiactivity-script.md
## Configure the script,## Configurare lo script,multiactivity-script.md
1. Go to _Forecast > Requirement Scripts_{:.breadcrumbs}.,1. Vai su _Forecast > Script di fabbisogno_{:.breadcrumbs}.,multiactivity-script.md
"2. In the **Calls - Multi-Activity** tile, click _Open_{:.doc-button}.","2. Nel riquadro **Chiamate entranti - Multi-attività**, clicca su _Apri_{:.doc-button}.",multiactivity-script.md
"3. In the script configuration window, configure the following settings:","3. Nella finestra di configurazione dello script, configura i parametri seguenti (i nomi di alcuni parametri sono in inglese):",multiactivity-script.md
    - In the **Date** section:,   - Nella sezione **Data**:,multiactivity-script.md
      - **Start Date**: Enter the start date for the staff requirements calculation.,     - **Data d'inizio**: inserisci la data di inizio per il calcolo del fabbisogno di personale.,multiactivity-script.md
      - **Number of Days**: Enter the number of days after the start date for which you want to calculate staff requirements.,     - **Numero giorni**: inserisci il numero di giorni dopo la data di inizio per i quali vuoi calcolare il fabbisogno di personale.,multiactivity-script.md
    - In the **Planning Unit Parameters** section:,   - Nella sezione **Parametri Unità pianificative**:,multiactivity-script.md
      - **Planning Unit** and **Multi-Activity**.<br>,     - **Unità pianificativa** e **Multiattività**.<br>,multiactivity-script.md
      The script configuration window updates and displays the calculation parameters for the relevant subactivities.,     La finestra di configurazione dello script si aggiorna e mostra i parametri di calcolo per le subattività rivelanti.,multiactivity-script.md
"    - In the **Subactivity** section, you can configure different calculation parameters for each subactivity. Start with the parameters in the **Queue Parameters** section:",   - Nella sezione **Subattività** puoi configurare dei parametri di calcolo diversi per ogni subattività. Comincia dai parametri nella sezione **Parametri Servizi**:,multiactivity-script.md
"      - **Calculation Method**: Select **Erlang-C**, **Linear**, or **Chat**.<br>The script configuration window updates and displays the relevant configurable parameters. See the [table below](#calculation-parameters-in-the-erlang-c-section) to learn which parameters are configurable for each calculation method.","    - **Calculation Method** (metodo di calcolo): scegli tra **Erlang-C**, **Linear** e **Chat**.<br>La finestra di configurazione dello script si aggiorna e mostra i parametri di calcolo rivelanti. Vedi la [tabella qui sotto](#parametri-di-calcolo-nella-sezione-parametri-erlang-c) per scoprire quali parametri sono configurabili per ciascun metodo di calcolo.",multiactivity-script.md
      - **Queue**: Select the queue that contains the data you want to use for the calculation.,    - **Servizio**: seleziona la coda che contiene i dati che vuoi utilizzare per il calcolo.,multiactivity-script.md
"      - **Processes**: Select the value type of the contact volume, e.g. Calls Offered.","    - **Operazioni**: seleziona il tipo di volume di contatto, per esempio Chiamate entranti.",multiactivity-script.md
"      - **Average Handling Time**: If your workloads have a forecasted average handle time (AHT), select the relevant value type. Otherwise, select **[None]**.","    - **Durata media di gestione** (AHT): se i tuoi workload hanno un tempo medio di gestione (AHT) previsto, seleziona il valore corrispondente. Altrimenti seleziona **[Nessuno]**.",multiactivity-script.md
"      - **Version**: Select **Auto-Forecast**. In injixo Enterprise on-premise, you can select a different version.",    - **Versione**: seleziona **Auto-Forecast**. In injixo Enterprise on-premise puoi selezionare una versione diversa.,multiactivity-script.md
## Calculation parameters in the Erlang C section,## Parametri di calcolo nella sezione Parametri Erlang C,multiactivity-script.md
| Parameter                         | Description                                                                                                            | Configurable in Erlang-C | Configurable in Linear | Configurable in Chat |,| Parametro                         | Descrizione                                                                                                            | Configurabile in Erlang-C | Configurabile in Linear | Configurabile in Chat |,multiactivity-script.md
| --------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------- |--------  | -------- |,| --------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | -------- |--------  | -------- |,multiactivity-script.md
| Service Level (%)             | Percentage of contacts that should be handled within the time you configure in the **Service Sec.** parameter.                                                                                                                                                                    | Yes | No | Yes |,"| Service level (%) (Livello di servizio, in percentuale)             | La percentuale di contatti che dovrebbero essere processati nel lasso di tempo configurato nel parametro                                                                                                                                                                    | Sì | No | Sì |",multiactivity-script.md
| Service Sec.            | Time within which the percentage of contacts you configure in the **Service Level (%)** parameter should be handled.                                                                                                                                                                                            | Yes | No | Yes |,"| Service level (sec.) (Livello di servizio, in secondi)            | Il lasso di tempo entro il quale la percentuale di contatti che configuri nel parametro **Service level (%)** dovrebbe essere processata.                                                                                                                                                                                            | Sì | No | Sì |",multiactivity-script.md
| Add (%)                         | The percentage value by which you want to increase the calculated staff requirements. Learn how to [configure this parameter](#configure-the-add--parameter-to-account-for-shrinkage) to account for shrinkage. | Yes | Yes | Yes |,| Supplemento (%)                         | Il valore percentuale per il quale vuoi incrementare il fabbisogno di personale calcolato. Scopri come [configurare questo parametro](#configurare-il-parametro-supplemento--per-tenere-conto-dello-shrinkage) per tenere dello shrinkage. | Sì | Sì | Sì |,multiactivity-script.md
| Minimum Staff            | Enter a value to overwrite lower staff requirements.                                                                                                                                                                                                                                                     | Yes | Yes | Yes |,| Risorse minime            | Inserisci un valore per sovrascrivere un fabbisogno di personale troppo basso.                                                                                                                                                                                                                                                     | Sì | Sì | Sì |,multiactivity-script.md
| Maximum Staff            | Enter a value to overwrite higher staff requirements.                              | Yes | Yes | Yes |,| Risorse massime            | Inserisci un valore per sovrascrivere un fabbisogno di personale troppo alto.                              | Sì | Sì | Sì |,multiactivity-script.md
"| Fixed Average Handling Time | If you selected a type in the **Average Handling Time** parameter in the **Queue Parameters** section, keep the default value here.<br> If you selected **[None]** in the **Average Handling Time** parameter, enter a value in seconds.                                 | Yes | Yes | Yes |","| Durata media costante di gestione (AHT fisso) | Se hai selezionato un tipo nel parametro **Durata media di gestione** nella sezione **Parametri Servizi**, qui lascia il valore prestabilito.<br> Se hai selezionato **[Nessuno]** nel parametro **Durata media di gestione**, inserisci un valore in secondi.                                 | Sì | Sì | Sì |",multiactivity-script.md
"| Seq (%)                  | Percentage of AHT that people spend on tasks they cannot do in parallel, such as after-call work.                                                                                                                                                                                                                                                                                   | No | No | Yes |","| Seq (%)                  | La percentuale di AHT che i dipendenti impiegano in compiti che non possono essere svolti in parallelo, come, per esempio, l’elaborazione post-chiamata.                                                                                                                                                                                                                                                                                   | No | No | Sì |",multiactivity-script.md
| Max Sessions                          | Maximum number of parallel chats that a person can handle at a time.                                                                                                                                             | No | No | Yes |,| Numero massimo di sessioni                          | Il numero massimo di sessioni di chat che un dipendente può gestire contemporaneamente.                                                                                                                                             | No | No | Sì |,multiactivity-script.md
### Configure the Add (%) parameter to account for shrinkage,### Configurare il parametro Supplemento (%) per tenere conto dello shrinkage,multiactivity-script.md
"To configure the **Add (%)** parameter so that it accounts for shrinkage, use the following formula, where s% is your shrinkage rate: 1/(1-s%)-1. The result expressed as a percentage is the value to enter in the **Add (%)** parameter. For example, to account for a shrinkage of 20%, the calculation is 1/(1-0.2)-1, which equals 25%.","Per configurare il parametro **Supplemento (%)** in modo che tenga conto dello shrinkage, utilizza la formula seguente, dove s% è il tuo tasso di shrinkage: 1/(1-s%)-1. Il risultato espresso in percentuale è il valore che devi inserire nel parametro **Supplemento (%)**. Per esempio, per tenere conto di uno shrinkage del 20%, calcola 1/(1-0.2)-1, il cui risultato è 25%.",multiactivity-script.md
## Run the script,## Avviare lo script,multiactivity-script.md
"- To start the calculation, click _OK_{:.doc-button}.<br>A window opens and displays the selected input parameters and the script results. <br>","- Per avviare il calcolo, clicca su _OK_{:.doc-button}.<br>Si apre una finestra che mostra i paramentri che hai inserito e i risultati dello script. <br>",multiactivity-script.md
## See the calculation results,## Vedere i risultati del calcolo,multiactivity-script.md
You can see the updated staff requirements for the selected planning unit and multiactivity in {% link_new Dashboards | features/monitoring/dashboards/manage-dashboards.md %} or in the parameter window in {% link_new Shift Center | features/scheduling/edit-or-delete-staff-requirements.md %} or {% link_new Schedules | features/scheduling/schedules/schedules-activity-coverage.md %}.,Puoi vedere il fabbisogno di personale aggiornato per l’unità di pianificazione e la multiattività selezionate in {% link_new Dashboards | features/monitoring/dashboards/manage-dashboards.md %} o nella finestra dei parametri nel {% link_new Centro dei turni | features/scheduling/edit-or-delete-staff-requirements.md %} o in {% link_new Schedules | features/scheduling/schedules/schedules-activity-coverage.md %}.,multiactivity-script.md
Create workloads,Creare i workload,create-workloads.md
Create workloads to represent historical and forecasted contact volume and AHT. Learn about the different workload types.,Crea i workload per rappresentare il volume di contatto storico e previsto e l’AHT. Scopri i diversi tipi di workload.,create-workloads.md
"To create, edit or delete workloads, go to _Forecast_{:.breadcrumbs}.","Per creare, modificare o eliminare i workload, vai su _Forecast_{:.breadcrumbs}.",create-workloads.md
"Workloads map the input channels of your external system, which records the details of your customer interactions. Based on imported contact data stored in queues, injixo Forecast will calculate a forecast for the workload. Configurable events, public holidays, or opening hours influence the forecast result. You can also {% link_new import your forecast | features/forecast/injixo-forecast/import-forecast.md %} into workloads.","I workload mappano i canali di ingresso del tuo sistema esterno, che registra i dettagli delle vostre interazioni con i clienti. Sulla base dei dati sui contatti, importati nelle code, injixo Forecast calcolerà una previsione per il workload. Gli eventi configurabili, le festività e gli orari di apertura influiscono sulla previsione. Puoi anche {% link_new importare la tua previsione | features/forecast/injixo-forecast/import-forecast.md %} nei workload.",create-workloads.md
"In workloads, you configure the staff requirements calculation. Staff requirements are needed for scheduling.",Nei workload puoi configurare il calcolo del fabbisogno di personale. Il fabbisogno di personale è necessario per la pianificazione.,create-workloads.md
New to injixo Forecast? Learn {% link_new the basics | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %} first.,È la prima volta che utilizzi injixo Forecast? Meglio cominciare dalle {% link_new basi | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %}.,create-workloads.md
## Prerequisites,## Prerequisiti,create-workloads.md
- Add {% link_new a native or CSV integration | features/acd-integration/cloud/how-integrations-work.md %} and import historical data for at least one queue.,- Aggiungi un’{% link_new integrazione nativa o CSV | features/acd-integration/cloud/how-integrations-work.md %} e importa i dati storici per almeno una coda.,create-workloads.md
"- Import offered contacts, average handling time (AHT), and handled contacts. Workloads with multiple queues will need the handled contacts to display the AHT and calculate weighted averages.","- Importa i contatti in arrivo, il tempo medio di gestione (AHT), e i contatti gestiti. I workload con più di una coda richiedono i dati sui contatti gestiti per poter mostrare il tempo medio di gestione e calcolare le medie ponderate.",create-workloads.md
injixo creates queues using the data imported by an integration. The data import interval determines the interval of the queues created from that data. You can only add queues with the same interval to a workload.,injixo crea code utilizzando i dati importati da un'integrazione. L'intervallo di importazione dei dati determina l'intervallo delle code create a partire da quei dati. È possibile aggiungere a un workload solo code con lo stesso intervallo.,create-workloads.md
## Queues and channels,## Code e canali,create-workloads.md
"Contact data imported by an integration is stored in queues. These queues are always associated with a channel. When you [create workloads](#create-workloads), you can filter queues by channel to assign them to the workload. Native integrations automatically set the channel for queues. Not all integrations support all channels.","I dati sui contatti importati da un'integrazione vengono salvati all’interno di code. Queste code sono sempre associate a un canale. Quando [crei un workload](#creare-un-workload), puoi filtrare le code in base al canale per assegnarle al workload. Le integrazioni native impostano automaticamente il canale per le code. Non tutte le integrazioni supportano tutti i canali.",create-workloads.md
"For a CSV integration, you need to set the channel manually. You can add a channel per column or select one channel for the file when you {% link_new map the columns | features/acd-integration/cloud/add-csv-integration.md | #map-the-columns %} of a CSV file.","Per le integrazioni CSV, è necessario impostare manualmente il canale. È possibile aggiungere un canale per colonna, o selezionare un canale per il file durante la {% link_new mappatura delle colonne | features/acd-integration/cloud/add-csv-integration.md | #mappare-le-colonne %} di un file CSV.",create-workloads.md
Integrations support the following channels:,Le integrazioni supportano i seguenti canali:,create-workloads.md
- Calls,- Chiamate,create-workloads.md
- Chats,- Chat,create-workloads.md
- Emails,- Email,create-workloads.md
- Cases,- Casi,create-workloads.md
- Documents,- Documenti,create-workloads.md
- Social media,- Social media,create-workloads.md
