en,nl,article
"We recommend creating one workload for each activity you want to schedule using staff requirements. Multiactivities require one workload for the multiactivity, and one workload for each subactivity.","We raden aan om voor elke activiteit die je met personeelsbehoefte wilt inplannen een workload aan te maken. Multiactiviteiten vereisen één workload voor de multiactiviteit, en één workload voor elke deelactiviteit.",manage-workloads.md
1. Click _New workload_{:.doc-button} on top of the list.,1. Klik boven de lijst op _Nieuwe workload_{:.doc-button}.,manage-workloads.md
2. Enter the general information for your workload:,2. Voeg de algemene informatie toe voor je workload:,manage-workloads.md
   - **Name**: Unique name to identify your workload.,   - **Naam**: Unieke naam om je werklast te herkennen.,manage-workloads.md
   - **Time zone**: The {% link_new time zone | best-practices/working-with-timezones.md %} for the workload cannot be edited later.,   - **Tijdzone**: De {% link_new tijdzone | best-practices/working-with-timezones.md %} voor de workload kan later niet worden bewerkt.,manage-workloads.md
     > Note,     > Opmerking,manage-workloads.md
     >,     >,manage-workloads.md
"     > - To save staff requirements for a planning unit, the time zone of the workload must match the time zone of the planning unit.","     > - Om de personeelsbehoefte voor een eenheid op te slaan, moet de tijdzone van de workload overeenkomen met de tijdzone van de eenheid.",manage-workloads.md
"     > - If you select a different time zone for your workload than the time zone of the integration used to import data, the imported data will be displayed as shifted in time in the workload. For example, if a CSV integration is set to UTC&nbsp;time and your workload is set to CEST&nbsp;time (UTC&nbsp;+2&nbsp;hours), the imported data marked at 08:00 will be displayed at 10:00 in the workload.","     > - Als je een andere tijdzone voor je workload hebt ingesteld dan voor de integratie weermee je gegevens importeert, worden de geïmporteerdegegevens met tijdsverschuiving in de workload weergegeven. Als voor een CSV-integratie bijvoorbeeld UTC-tijd is ingesteld en je voor je workload CEST-tijd (UTC +2 uur), worden de geïmporteerde gegevens van 8:00 uur in de workload weergegeven om 10:00 uur.",manage-workloads.md
   - (Optional) **Holiday region**: Includes national holidays that may affect your forecast.,   - (Optioneel) **Feestdagen regio**: Omvat nationale feestdagen die je forecast kunnen beïnvloeden.,manage-workloads.md
   - (Optional) **Planning unit** and **Activity**: Required to {% link_new activate business hours | features/forecast/injixo-forecast/forecast-activate-business-hours.md %} in the **Business hours** section.,   - (Optioneel) **Eenheid** en **Activiteit**: Vereist om {% link_new openingstijden te activeren | features/forecast/injixo-forecast/forecast-activate-business-hours.md %} in de sectie **Openingstijden**.,manage-workloads.md
3. (injixo Classic only) Select an option from the **Pricing model** section:,3. (alleen injixo Classic) Selecteer een optie uit de sectie **Prijsmodel**:,manage-workloads.md
   - **Live mode** (paid): Invoiced monthly. Cannot be reverted to Test mode.,   - **Live-modus** (betaald): Maandelijks gefactureerd. Kan niet worden teruggedraaid naar de Testmodus.,manage-workloads.md
   - **Test mode** (free): You can only view forecasts and not transfer staff requirements for scheduling.,   - **Testmodus** (gratis): Je kunt alleen forecasts bekijken en geen personeelsbehoeften overdragen voor planningsdoeleinden.,manage-workloads.md
"4. In the **Assign queues** section, select the queues for your workload.",4. Selecteer de queues voor je workload in de sectie **Queues toewijzen**.,manage-workloads.md
   To limit the queues displayed:,   Om het aantal weergegeven queues te verkleinen:,manage-workloads.md
"   - Filter the queues by channel (Calls, Chats, etc.).","   - Filter de queues op kanaal (gesprekken, chats, enz.).",manage-workloads.md
"   - Use the checkboxes to show selected, unselected or inactive queues. Inactive queues are those imported by integrations that have been deleted.","   - Vink de selectievakjes voor geselecteerde, niet-geselecteerde of inactieve queues aan. Inactieve queues zijn queues die geïmporteerd zijn door integraties die verwijderd zijn.",manage-workloads.md
"   - Use the search field over the table. You can search for queue, integration or workload name.","   - Gebruik het zoekveld boven de tabel. Je kunt zoeken op de naam van de queue, de integratie of de workload.",manage-workloads.md
"   Note: If a queue's interval or channel does not match that of the selected queues, all non-matching queues will be grayed out.","   Opmerking: Als het interval of kanaal van een queue niet overeenkomt met het interval of kanaal van de geselecteerde queue, worden alle queues die niet overeenkomen, uitgegrijsd.",manage-workloads.md
5. Click _Create workload_{:.doc-button}.,5. Klik op _Workload aanmaken_{:.doc-button}.,manage-workloads.md
   The page displays historical data and a preliminary forecast version.,   De pagina geeft historische gegevens en een eerste forecastversie weer.,manage-workloads.md
"   When the calculation is completed, refresh the page to see the final forecast version.","   Als de berekening is afgerond, dien je de pagina te vernieuwen om de uiteindelijke forecastversie te bekijken.",manage-workloads.md
   The new workload is displayed in the workloads list.,   De nieuwe workload wordt weergegeven in de lijst met workloads.,manage-workloads.md
"If you are using injixo Essential, you can create Basic workloads. Basic workloads require at least two weeks of historical data. Basic workloads do not support business hours.","Als je injixo Essential gebruikt, kun je Basic workloads aanmaken. Voor Basic workloads zijn minimaal twee weken aan historische gegevens nodig. Openingstijden worden niet ondersteund door Basic workloads.",manage-workloads.md
"If you are using injixo Advanced or Enterprise WFM, you can create Smart workloads. Smart workloads generate a forecast based on just one day of historical data. Smart workloads support business hours.","Als je injixo Advanced of Enterprise WFM gebruikt, kun je Smart workloads aanmaken. Smart workloads genereren een forecast op de historische gegevens van slechts een dag. Openingstijden worden ondersteund door Smart workloads.",manage-workloads.md
"If you are using injixo Classic, you additionally need to select the Forecast model (Smart or Basic) for each workload. For Smart workloads, you must choose between the Live mode and the Test mode. The Test mode is free of charge but it only lets you see the forecast, and you cannot transfer staff requirements for scheduling purposes. The Live mode offers the full functionality and is billed monthly. Smart workloads in Live mode cannot be reverted to Test mode.","Als je injixo Classic gebruikt, moet je daarnaast ook het forecastmodel (Smart of Basic) selecteren voor elke workload. Voor Smart workloads moet je kiezen tussen de Live-modus en de Testmodus. De Testmodus is gratis, maar laat je de forecast alleen bekijken. Je kunt geen personeelsbehoefte overdragen voor planningsdoeleinden. De Live-modus biedt de volledige functionaliteit en wordt maandelijks in rekening gebracht. Slimme workloads in de Live-modus kunnen niet worden teruggedraaid naar de Testmodus.",manage-workloads.md
<!-- ## Create workloads without historical data,<!-- ## Create workloads without historical data,manage-workloads.md
"You only need an integration and historical data import if you want injixo to create forecasts. To add forecast data by {% link_new importing a forecast | features/forecast/injixo-forecast/import-forecast.md %} that has been generated externally or to {% link_new create constant staff requirements | features/forecast/requirement-scripts/requirement-constant.md %}, you can create a workload using the tab *Forecast Import*:","You only need an integration and historical data import if you want injixo to create forecasts. To add forecast data by {% link_new importing a forecast | features/forecast/injixo-forecast/import-forecast.md %} that has been generated externally or to {% link_new create constant staff requirements | features/forecast/requirement-scripts/requirement-constant.md %}, you can create a workload using the tab *Forecast Import*:",manage-workloads.md
1. Go to **Forecast**{:.breadcrumbs}.,1. Go to **Forecast**{:.breadcrumbs}.,manage-workloads.md
2. Click _Create Workload_{:.doc-button} in the upper right corner of the forecast page.,2. Click _Create Workload_{:.doc-button} in the upper right corner of the forecast page.,manage-workloads.md
"3. In the *Basic configuration* section, enter a **Name** for your new workload.","3. In the *Basic configuration* section, enter a **Name** for your new workload.",manage-workloads.md
4. Select the **Time zone** to display data. Note: The set time zone must match the planning unit to save staff requirements.,4. Select the **Time zone** to display data. Note: The set time zone must match the planning unit to save staff requirements.,manage-workloads.md
5. (Optional) Select the **Holiday region** to acknowledge all national holidays that affect your forecast for the year.,5. (Optional) Select the **Holiday region** to acknowledge all national holidays that affect your forecast for the year.,manage-workloads.md
6. Select the **Planning unit** and the **Activity**. This is required to calculate staff requirements.,6. Select the **Planning unit** and the **Activity**. Note: You must select an option to calculate staff requirements.,manage-workloads.md
    {{ 4 | image: 'Import Workload basic configuration section' }},    {{ 4 | image: 'Import Workload basic configuration section' }},manage-workloads.md
7. Click the tab **Forecast import**.,7. Click the tab **Forecast import**.,manage-workloads.md
8. Select your **Interval length** and the **Channel** for the data import. Both must correspond with your import file.,8. Select your **Interval length** and the **Channel** for the data import. Both must correspond with your import file.,manage-workloads.md
    {{ 5 | image: 'Import Workload parameters' }},    {{ 5 | image: 'Import Workload parameters' }},manage-workloads.md
9. Click *Create workload*{:.doc-button}. -->,9. Click *Create workload*{:.doc-button}. -->,manage-workloads.md
## Edit workloads,## Workloads bewerken,manage-workloads.md
1. Select a workload from the workloads list or type the workload's name in the search field.,1. Selecteer een workload uit de lijst met workloads of typ de naam van de workload in het zoekveld in.,manage-workloads.md
"2. To change the workload details, click the {% icon pencil %}.<br>",2. Klik op het {% icon pencil %} om de gegevens van de workload te bewerken.,manage-workloads.md
"   In the **Assign queues** section, you can add or remove queues. If a queue’s interval or channel does not match that of the selected queues, all non-matching queues will be grayed out. If you remove a queue, the imported data is not deleted and the queue can still be added to other workloads.",   Je kunt queues toevoegen of verwijderen zonder dat je opnieuw gegevens hoeft te importeren. Weergegeven queues worden uitgegrijsd als hun interval of kanaal niet overeenkomt met eerder toegewezen queues.,manage-workloads.md
3. Click _Save workload_{:.doc-button}.,3. Klik op _Workload opslaan_{:.doc-button}.,manage-workloads.md
   The new configuration may update the forecast.,   Op basis van de nieuwe configuratie wordt de forecast mogelijk bijgewerkt.,manage-workloads.md
## Delete workloads,## Workloads verwijderen,manage-workloads.md
1. Click the {% icon trash %} next to the workload in the list.,1. Klik op het {% icon trash %} naast de workload in de lijst.,manage-workloads.md
"2. In the confirmation window, click _Delete Workload_{:.doc-button}.",2. Klik in het bevestigingsvenster op _Workload verwijderen_{:.doc-button}.,manage-workloads.md
"    injixo stores the associated historical data. To reuse the data, add the queue or queues to another workload.","    injixo slaat de bijbehorende historische gegevens op. Om de gegevens te hergebruiken, voeg je de queue(s) toe aan een andere workload.",manage-workloads.md
What is injixo Forecast?,Wat is injixo Forecast?,what-is-the-injixo-forecast.md
Use injixo Forecast to automatically calculate a forecast for contact volume and AHT.,Gebruik injixo Forecast om automatisch een forecast te berekenen voor het contactvolume en de AHT.,what-is-the-injixo-forecast.md
"injixo Forecast combines your historical data with algorithms to generate high-quality forecasts. The algorithms recognize trends, patterns, and fluctuations included in your data. injixo Forecast uses many types of algorithms, such as ARIMA, Holt-Winters, exponential smoothing, regression, or gradient boosting.","injixo Forecast combineert historische gegevens met algoritmen om hoogwaardige forecasts te genereren. De algoritmen herkennen trends, patronen en fluctuaties in je gegevens. injixo Forecast maakt gebruik van een groot aantal soorten algoritmen, zoals ARIMA, Holt-Winters, exponentiële vereffening, regressie of gradient boosting.",what-is-the-injixo-forecast.md
"injixo Forecast automatically selects the algorithm best suited to your data. The forecast is generated for 365 days and can be displayed in daily, weekly, monthly, and yearly views.","injixo Forecast selecteert automatisch het algoritme dat het meest geschikt is voor je gegevens. De forecast wordt gegenereerd voor 365 dagen en kan worden weergegeven in dag-, week-, maand- en jaaraanzichten.",what-is-the-injixo-forecast.md
injixo Essential WFM uses a basic algorithm that uses simple average values in the historical data to recognize a long-term linear trend and weekly patterns.,injixo Essential WFM maakt gebruik van een basisalgoritme dat gemiddelde waarden in de historische gegevens gebruikt om een langetermijntrend en weekpatronen te herkennen.,what-is-the-injixo-forecast.md
## Generate a forecast,## Een forecast genereren,what-is-the-injixo-forecast.md
Check our quick start guide to learn how to {% link_new generate a forecast | getting-started/calculate-a-forecast.md %}. Each new data import updates the generated forecast. injixo Essential WFM only generates a new forecast once a week.,Bekijk onze snelstartgids om te zien hoe je {% link_new een forecast genereert | getting-started/calculate-a-forecast.md %}. Elke nieuwe gegevensimport updatet de gegenereerde forecast; injixo Essential WFM genereert een keer per week een nieuwe forecast.,what-is-the-injixo-forecast.md
"Note: If your generated forecast only shows repeated weekly patterns, it still may be the optimal forecast. In this case, the algorithm captures short-term patterns (for non-repeating fluctuations) and rates long-term patterns as irrelevant. Fluctuations in the historical data are not always patterns.","Opmerking: Als je gegenereerde forecast alleen herhaalde weekpatronen weergeeft, dan kan dit nog steeds de optimale forecast zijn. In dit geval legt het algoritme kortetermijnpatronen vast (voor niet-herhalende fluctuaties) en beschouwt langetermijnpatronen als niet relevant. Fluctuaties in de historische gegevens zijn niet altijd patronen.",what-is-the-injixo-forecast.md
## Data requirements,## Gegevensvereisten,what-is-the-injixo-forecast.md
"injixo Forecast requires that you import offered contacts, average handling time (AHT), and handled contacts.","Voor injixo Forecast is het nodig dat je aangeboden contacten, gemiddelde afhandeltijd (AHT) en behandelde contacten importeert.",what-is-the-injixo-forecast.md
"Basic workloads in injixo Classic require at least two weeks of historical data. Smart workloads can generate a forecast based on just one day of historical data. If you have two or more years worth of data, Smart workloads consider monthly and annual fluctuations, such as seasonal business.","Voor basisworkloads in injixo Classic zijn minimaal twee weken aan historische gegevens nodig. Smart workloads kunnen een forecast genereren op basis van slechts een dag aan historische gegevens. Als er meer dan twee jaar aan gegevens beschikbaar zijn, dan werken smart workloads met maandelijkse en jaarlijkse fluctuaties, zoals seizoensperiodes.",what-is-the-injixo-forecast.md
"Which kind of workloads are available to you depends on your WFM plan (Classic, Essential, Advanced or Enterprise WFM).","Welke soort workloads voor jou beschikbaar zijn, is afhankelijk van je WFM-plan (Classic, Essential, Advanced of Enterprise WFM).",what-is-the-injixo-forecast.md
## How to deal with low data quality,## Omgang met gegevens van een slechte kwaliteit,what-is-the-injixo-forecast.md
"To generate an accurate forecast, historical data must be both complete (enough data with as few gaps as possible) and clean (free of irrelevant patterns). For example, incorrectly marked {% link_new events or holidays | features/forecast/injixo-forecast/events-and-holidays.md %} will impact forecast quality.","Om een nauwkeurige forecast te genereren, moeten historische gegevens zowel volledig (genoeg gegevens met zo min mogelijk gaten) en zuiver (vrij van niet-relevante patronen) zijn. Denk bijvoorbeeld aan onjuist gemarkeerde {% link_new gebeurtenissen of feestdagen | features/forecast/injixo-forecast/events-and-holidays.md %} die de kwaliteit van de forecast beïnvloeden.",what-is-the-injixo-forecast.md
"Historical data may include prolonged outages, or it may miss data for a particular timeframe. The closer that missing data is to the current day, the less the forecast quality is affected.","Historische gegevens kunnen langdurige storingen bevatten, of er kunnen gegevens ontbreken voor een bepaalde tijdsperiode. Hoe dichter de ontbrekende gegevens bij de actuele datum liggen, hoe minder de kwaliteit van de forecast wordt beïnvloed.",what-is-the-injixo-forecast.md
Here are some tips on managing low data quality depending on how long the period with poor or missing data is:,"Hier zijn enkele tips voor het beheer van gegevens van een slechte kwaliteit, afhankelijk van hoe lang de periode met slechte of ontbrekende gegevens is:",what-is-the-injixo-forecast.md
| Timeframe with poor quality data     | Tip                                                                                                                                                         |,| Tijdsbestek met gegevens van een slechte kwaliteit     | Tip                                                                                                                                                         |,what-is-the-injixo-forecast.md
| -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------- |,| -------- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- | ---------------------------------------------------- |,what-is-the-injixo-forecast.md
| A few days | Use {% link_new events | features/forecast/injixo-forecast/events-and-holidays.md %} to mark the affected days as an outage and exclude them from the calculation.                                  |,| Een paar dagen | Gebruik {% link_new events | features/forecast/injixo-forecast/events-and-holidays.md %} om de betreffende dagen als een storing te markeren en sluit ze uit van de berekening.                                  |,what-is-the-injixo-forecast.md
| A couple of weeks    | Upload additional data without gaps or irrelevant patterns. |,| Een paar weken    | Upload extra gegevens zonder gaten of niet-relevante patronen. |,what-is-the-injixo-forecast.md
| Several weeks or months  | Remove the data that predates the gap. Import only the data from after the gap.                            |,| Meerdere weken of maanden  | Verwijder de gegevens die voorafgaan aan het gat. Importeer alleen de gegevens van na het gat.                            |,what-is-the-injixo-forecast.md
"Note: If you cannot upload additional data or you do not have enough data after a gap, the Smart Forecast algorithms will automatically try to minimize the negative impact of missing data.","Opmerking: Als je geen aanvullende gegevens kunt uploaden of niet genoeg gegevens hebt van na het gat, dan proberen de Smart Forecast-algoritmen de negatieve invloed van de ontbrekende gegevens automatisch te minimaliseren.",what-is-the-injixo-forecast.md
> Check and clean up data before you import it,> Controleer en zuiver gegevens voordat je deze importeert.,what-is-the-injixo-forecast.md
>,>,what-is-the-injixo-forecast.md
> You cannot remove historical data. Contact your Customer Success team if needed.,> Je kunt historische gegevens niet verwijderen. Neem contact op met je Customer Success-team indien nodig.,what-is-the-injixo-forecast.md
## Forecast low volumes,## Forecasts genereren voor lage contactvolumes,what-is-the-injixo-forecast.md
"injixo Forecast can generate forecasts for low and high contact volumes. When generating a forecast based on data from low contact volumes, injixo may not recognize the daily patterns. While rare, this may result in no forecast being generated for particular days. For single days, adjust the forecast manually. In a recurring situation, you can:","injixo Forecast kan forecasts genereren voor lage en hoge contactvolumes. Bij het genereren van een forecast op basis van gegevens met lage contactvolumes, kan injixo de dagelijkse patronen mogelijk niet herkennen. Hoewel het bijna nooit voorkomt, kan dit ertoe leiden dat er voor bepaalde dagen geen forecast wordt gegenereerd. Wanneer dit losse dagen betreft, raden wij je aan de forecast handmatig aan te passen. Indien dit vaker voorkomt, kun je:",what-is-the-injixo-forecast.md
- Add multiple queues to the workload (resulting in higher volumes).,- Meerdere queues toevoegen aan de workload (dit resulteert in hogere volumes).,what-is-the-injixo-forecast.md
"- Use another approach to generate staff requirements for scheduling, e.g. {% link_new generate constant staff requirements | features/forecast/requirement-scripts/requirement-constant.md %}.","- Een andere aanpak gebruiken om personeelsbehoefte voor het plannen, bijvoorbeeld. {% link_new een constante personeelsbehoefte genereren | features/forecast/requirement-scripts/requirement-constant.md %}.",what-is-the-injixo-forecast.md
Calculate staff requirements,De personeelsbehoefte berekenen,staff-requirement.md
"Calculate staff requirements for calls, chat, email & more.","De personeelsbehoefte berekenen voor oproepen, chats, e-mail en meer.",staff-requirement.md
"The last step in forecasting is to calculate staff requirements using one of several calculation methods. To set where staff requirements are saved, select a planning unit and an activity in your workloads. You can also write constant staff requirements without a forecast.","De laatste stap bij het maken van forecasts is het berekenen van de personeelsbehoefte met behulp van een van de berekeningsmethoden. Om in te stellen waar de personeelsbehoefte wordt opgeslagen, selecteer je een eenheid en een activiteit in je workloads. Je kunt ook zonder forecast constante personeelsbehoeften schrijven.",staff-requirement.md
New to injixo Forecast? Learn {% link_new the basics | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %} first.,Ben je nog niet zo vertrouwd met injixo Forecast? Maak je dan eerst vertrouwd met de {% link_new basisprincipes | features/forecast/injixo-forecast/what-is-the-injixo-forecast.md %}.,staff-requirement.md
## Available calculation methods,## Beschikbare berekeningsmethoden,staff-requirement.md
"There are several calculation methods for staff requirements available in injixo. To learn how to configure a calculation method, click the links below:",Er zijn verschillende berekeningsmethoden beschikbaar in injixo om de personeelsbehoefte te berekenen. Klik op de onderstaande links om te lezen hoe je een berekeningsmethode configureert.,staff-requirement.md
"- {% link_new Erlang-C, Linear, and Chat | features/forecast/injixo-forecast/staff-requirement.md | #configure-integrated-calculation-methods %}","- {% link_new Erlang-C, Linear en Chat | features/forecast/injixo-forecast/staff-requirement.md | #geïntegreerde-berekeningsmethoden-configureren %}",staff-requirement.md
- {% link_new Multiactivity | features/forecast/requirement-scripts/requirement-multiactivity.md %},- {% link_new Multiactiviteit | features/forecast/requirement-scripts/requirement-multiactivity.md %},staff-requirement.md
- {% link_new Outbound | features/forecast/requirement-scripts/requirement-outbound.md %},- {% link_new Outbound | features/forecast/requirement-scripts/requirement-outbound.md %},staff-requirement.md
- {% link_new Back office | features/forecast/requirement-scripts/requirement-backoffice-linear.md %},- {% link_new Backoffice | features/forecast/requirement-scripts/requirement-backoffice-linear.md %},staff-requirement.md
- {% link_new Abandonment rate | features/forecast/requirement-scripts/requirement-abandoned-calls.md %},- {% link_new Afbrekingspercentage | features/forecast/requirement-scripts/requirement-abandoned-calls.md %},staff-requirement.md
- {% link_new Average speed of answer | features/forecast/requirement-scripts/requirement-asa.md %},- {% link_new Gemiddelde antwoordtijd | features/forecast/requirement-scripts/requirement-asa.md %},staff-requirement.md
- {% link_new Constant requirement | features/forecast/requirement-scripts/requirement-constant.md %},- {% link_new Constante behoefte | features/forecast/requirement-scripts/requirement-constant.md %},staff-requirement.md
Note: Read the article {% link_new Choose the correct requirement script | best-practices/requirement-scripts.md %} to learn which method best suits your use case.,Opmerking: Lees het artikel {% link_new Het correcte behoeftescript selecteren | best-practices/requirement-scripts.md %} om te lezen welke methode het beste bij je usecase past.,staff-requirement.md
## Configure integrated calculation methods,## Geïntegreerde berekeningsmethoden configureren,staff-requirement.md
"The integrated methods update staff requirements calculation results based on new data imports, changed calculation parameters, or {% link_new manual adjustments | features/forecast/injixo-forecast/manual-adjustments.md %}.","De geïntegreerde methoden werken de resultaten van de personeelsbehoefteberekening bij op basis van nieuwe gegevensimports, gewijzigde berekeningsparameters of {% link_new handmatige wijzigingen | features/forecast/injixo-forecast/manual-adjustments.md %}.",staff-requirement.md
1. Go to _Forecast_{:.doc-button} and select a workload.,1. Ga naar _Forecast_{:.doc-button} en selecteer een workload.,staff-requirement.md
2. Scroll to the **Staff Requirements** section:,2. Scrol naar de sectie **Personeelsbehoefte**:,staff-requirement.md
"   - In a new workload, click _Configure calculation parameters_{:.doc-button}.",   - Klik in een nieuwe workload op _Berekeningsparameters configureren_{:.doc-button}.,staff-requirement.md
"   - To change the configured calculation method, click _Edit Calculation Method_{:.doc-button}.",   - Klik op _Berekeningsmethode bewerken_{:.doc-button} om de geconfigureerde berekeningsmethode te wijzigen.,staff-requirement.md
"3. In the **Calculation Method** drop-down menu, select Erlang C (for calls), Chat, or Linear (for storable volumes).","4. Selecteer in het vervolgkeuzemenu **Berekeningsmethode** de berekeningsmethode Erlang C (voor oproepen), Chat of Linear (voor volumes die kunnen worden opgeslagen).",staff-requirement.md
"   Note: Learn more about [the Other option](#additional-calculation-methods), also available in the drop-down menu.","   Opmerking: Lees meer over [de optie Andere](#andere-berekeningsmethoden), die ook beschikbaar is in het vervolgkeuzemenu.",staff-requirement.md
"4. In the **Calculation parameters** section, configure the [calculation parameters](#calculation-parameters) for the selected calculation method.",5. Configureer in de sectie **Berekeningsparameters** de [berekeningsparameters](#berekeningsparameters) voor de geselecteerde berekeningsmethode.,staff-requirement.md
"5. In the **Storage Location** section, select a Planning Unit and an Activity. If you [transfer staff requirements for scheduling](#transfer-staff-requirements-for-scheduling), you will save it here.","6. Selecteer in de sectie **Opslaglocatie** een eenheid en een activiteit. Als je [personeelsbehoeften voor planningsdoeleinden overzet](#de-personeelsbehoefte-overzetten-voor-planningsdoeleinden), sla ze dan hier op.",staff-requirement.md
6. Click _Save Configuration_{:.doc-button}.,7. Klik op _Configuratie opslaan_{:.doc-button}.,staff-requirement.md
### Calculation parameters,### Berekeningsparameters,staff-requirement.md
There are different mandatory and optional parameters that depend on the selected calculation method:,Er zijn verschillende verplichte en optionele parameters die afhankelijk zijn van de geselecteerde berekeningsmethode:,staff-requirement.md
| Parameter                         | Details                                                                                                                                                                                                                                                                                                                                                    |,| Parameter                         | Details                                                                                                                                                                                                                                                                                                                                                    |,staff-requirement.md
| --------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,| --------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |,staff-requirement.md
| Target Service Level              | Percentage of incoming calls or chats to be handled within the Target Answer Time                                                                                                                                                                                                                                                                          |,| Beoogde servicegraad              | Percentage ontvangen oproepen of chats dat binnen de beoogde antwoordtijd moeten worden verwerkt.                                                                                                                                                                                                                                                                          |,staff-requirement.md
"| Target Answer Time                | Time in which the percentage of calls or chats specified in the Target Service Level parameter should be handled, e.g. 80% of the calls in 20 seconds.                                                                                                                                                                                                     |","| Beoogde antwoordtijd                | Tijd waarin het percentage oproepen of chats moet worden verwerkt dat in de parameter Beoogde servicegraad wordt gespecificeerd, bijvoorbeeld 80% van de oproepen binnen 20 seconden.                                                                                                                                                                                                     |",staff-requirement.md
